data_generator_T,data_generator_Z
0.0,0.1
0.02,0.11311522
0.039999999,0.12098932
0.059999999,0.12559153
0.079999998,0.12820873
0.1,0.12964061
0.12,0.1303712
0.14,0.13068931
0.16,0.13076589
0.18000001,0.13070165
0.2,0.13055578
0.22,0.13036302
0.23999999,0.1301437
0.25999999,0.12990977
0.28,0.12966818
0.30000001,0.12942302
0.31999999,0.12917668
0.34,0.12893052
0.36000001,0.12868537
0.38,0.12844168
0.40000001,0.12819971
0.41999999,0.12795961
0.44,0.12772146
0.46000001,0.12748529
0.47999999,0.12725112
0.5,0.12701894
0.51999998,0.12678877
0.54000002,0.12656055
0.56,0.12633431
0.57999998,0.12611
0.60000002,0.12588763
0.62,0.12566717
0.63999999,0.12544858
0.66000003,0.12523189
0.68000001,0.12501705
0.69999999,0.12480406
0.72000003,0.12459288
0.74000001,0.12438351
0.75999999,0.12417593
0.77999997,0.12397012
0.80000001,0.12376606
0.81999999,0.12356375
0.83999997,0.12336317
0.86000001,0.12316429
0.88,0.1229671
0.89999998,0.1227716
0.92000002,0.12257775
0.94,0.12238555
0.95999998,0.12219499
0.98000002,0.12200604
1.0,0.1218187
1.02,0.12163295
1.04,0.12144876
1.0599999,0.12126615
1.08,0.12108508
1.1,0.12090553
1.12,0.12072752
1.14,0.12055101
1.16,0.12037598
1.1799999,0.12020244
1.2,0.12003037
1.22,0.11985975
1.24,0.11969057
1.26,0.11952282
1.28,0.11935648
1.3,0.11919156
1.3200001,0.11902802
1.34,0.11886586
1.36,0.11870506
1.38,0.11854563
1.4,0.11838754
1.42,0.11823077
1.4400001,0.11807533
1.46,0.1179212
1.48,0.11776837
1.5,0.11761682
1.52,0.11746656
1.54,0.11731756
1.5599999,0.1171698
1.58,0.1170233
1.6,0.11687803
1.62,0.11673398
1.64,0.11659114
1.66,0.11644951
1.6799999,0.11630906
1.7,0.1161698
1.72,0.11603171
1.74,0.11589478
1.76,0.11575901
1.78,0.11562437
1.8,0.11549087
1.8200001,0.11535849
1.84,0.11522722
1.86,0.11509706
1.88,0.11496799
1.9,0.11484002
1.92,0.11471311
1.9400001,0.11458727
1.96,0.11446249
1.98,0.11433876
2.0,0.11421607
2.02,0.11409442
2.04,0.11397379
2.0599999,0.11385417
2.0799999,0.11373556
2.0999999,0.11361795
2.1199999,0.11350133
2.1400001,0.11338568
2.1600001,0.11327101
2.1800001,0.11315732
2.2,0.11304457
2.22,0.11293277
2.24,0.11282192
2.26,0.112712
2.28,0.112603
2.3,0.11249492
