T,ACT,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,I1P,PP1,TA
0.0,132.39645,1.325911,2.146327,0.81647199,0.34801599,3.218889,1.346285,1.380859,0.215422,4.942081,2.434134,1.284668,8.5917187,4.7270689,0.0075559998,0.0051569999,132.39639
1.0,132.39748,1.3258619,2.146275,0.81643999,0.34800082,3.2188509,1.3462495,1.3808229,0.21541439,4.9420829,2.4341073,1.284655,8.5918484,4.7272577,0.007556106,0.0051572155,132.39687
2.0,132.39792,1.3258343,2.1462414,0.81643093,0.34799662,3.2188225,1.3462431,1.3808165,0.21541467,4.9420767,2.4341166,1.2846586,8.5919123,4.7273159,0.0075560524,0.0051572542,132.39743
3.0,132.39813,1.3258191,2.1462228,0.8164286,0.34799603,3.218807,1.3462443,1.3808172,0.21541588,4.9420748,2.4341266,1.2846632,8.5919418,4.7273321,0.0075560114,0.0051572835,132.39783
4.0,132.39818,1.3258129,2.1462154,0.81642956,0.34799692,3.2188015,1.3462479,1.3808205,0.21541709,4.9420748,2.434134,1.284667,8.5919495,4.7273288,0.0075559802,0.0051573054,132.39804
5.0,132.39815,1.3258127,2.1462157,0.81643218,0.34799838,3.218802,1.3462521,1.3808246,0.2154181,4.9420757,2.434139,1.2846695,8.5919447,4.7273145,0.007555957,0.0051573226,132.39812
6.0,132.39804,1.3258163,2.1462204,0.81643558,0.34800005,3.2188065,1.3462563,1.3808286,0.21541893,4.9420772,2.4341419,1.2846712,8.5919323,4.7272949,0.0075559393,0.0051573352,132.3981
7.0,132.39792,1.3258224,2.1462276,0.81643921,0.34800175,3.2188127,1.3462601,1.3808324,0.21541961,4.9420781,2.4341433,1.2846721,8.5919151,4.727273,0.0075559258,0.005157345,132.39803
8.0,132.39778,1.3258296,2.1462364,0.81644285,0.34800339,3.2188199,1.3462635,1.380836,0.21542014,4.9420791,2.434144,1.2846725,8.591897,4.7272511,0.0075559155,0.005157352,132.3979
9.0,132.39764,1.3258374,2.1462455,0.8164463,0.34800491,3.2188272,1.3462666,1.3808391,0.21542059,4.94208,2.434144,1.2846726,8.5918779,4.7272301,0.0075559081,0.0051573575,132.39778
10.0,132.39751,1.3258451,2.1462543,0.81644958,0.34800628,3.2188344,1.3462692,1.3808419,0.21542093,4.9420805,2.4341435,1.2846725,8.5918598,4.7272105,0.007555902,0.0051573617,132.39764
11.0,132.39738,1.3258526,2.1462629,0.8164525,0.3480075,3.2188411,1.3462715,1.3808442,0.21542121,4.942081,2.4341428,1.2846723,8.5918427,4.7271924,0.0075558978,0.005157365,132.39752
12.0,132.39726,1.3258597,2.146271,0.81645513,0.3480086,3.2188473,1.3462735,1.3808464,0.21542145,4.942081,2.4341421,1.284672,8.5918274,4.7271757,0.0075558941,0.0051573673,132.39738
13.0,132.39716,1.3258662,2.1462781,0.81645745,0.34800959,3.2188528,1.3462752,1.3808482,0.21542163,4.9420815,2.4341412,1.2846717,8.5918131,4.7271614,0.0075558918,0.0051573692,132.39728
14.0,132.39706,1.3258721,2.1462846,0.81645954,0.34801042,3.2188578,1.3462766,1.3808497,0.21542178,4.9420815,2.4341404,1.2846713,8.5918007,4.7271485,0.0075558899,0.0051573706,132.39717
15.0,132.39697,1.3258773,2.1462903,0.81646132,0.34801117,3.2188623,1.346278,1.380851,0.2154219,4.9420815,2.4341395,1.2846709,8.5917892,4.7271371,0.0075558885,0.0051573715,132.39706
16.0,132.3969,1.3258818,2.1462955,0.81646287,0.34801179,3.2188661,1.346279,1.3808522,0.215422,4.9420815,2.4341388,1.2846706,8.5917788,4.7271276,0.0075558871,0.0051573724,132.39699
17.0,132.39684,1.3258859,2.1462998,0.81646425,0.34801236,3.2188694,1.3462799,1.3808532,0.21542209,4.9420815,2.4341381,1.2846702,8.5917702,4.727119,0.0075558862,0.0051573729,132.39691
18.0,132.39677,1.3258895,2.1463039,0.81646544,0.3480128,3.2188723,1.3462806,1.380854,0.21542215,4.9420815,2.4341376,1.28467,8.5917625,4.7271113,0.0075558857,0.0051573734,132.39684
19.0,132.39673,1.3258926,2.1463072,0.81646639,0.34801322,3.2188749,1.3462813,1.3808547,0.21542221,4.9420815,2.4341371,1.2846698,8.5917568,4.7271051,0.0075558852,0.0051573738,132.39679
20.0,132.39668,1.3258952,2.1463101,0.81646729,0.34801358,3.2188771,1.3462818,1.3808553,0.21542226,4.9420815,2.4341366,1.2846695,8.5917511,4.7270999,0.0075558848,0.0051573738,132.39673
21.0,132.39665,1.3258976,2.1463125,0.816468,0.34801385,3.218879,1.3462822,1.3808558,0.21542229,4.9420815,2.4341362,1.2846693,8.5917463,4.7270951,0.0075558848,0.0051573743,132.3967
22.0,132.39662,1.3258995,2.1463146,0.81646866,0.34801412,3.2188804,1.3462827,1.3808563,0.21542232,4.9420815,2.4341357,1.2846692,8.5917416,4.7270913,0.0075558843,0.0051573743,132.39665
23.0,132.39659,1.3259012,2.1463165,0.81646919,0.34801432,3.2188818,1.346283,1.3808566,0.21542235,4.9420815,2.4341354,1.284669,8.5917387,4.727088,0.0075558843,0.0051573743,132.39662
24.0,132.39658,1.3259027,2.1463182,0.81646961,0.3480145,3.218883,1.3462833,1.3808569,0.21542238,4.942081,2.4341352,1.2846688,8.5917358,4.7270851,0.0075558843,0.0051573748,132.39659
25.0,132.39655,1.3259039,2.1463194,0.81647003,0.34801465,3.218884,1.3462836,1.3808571,0.21542239,4.942081,2.434135,1.2846688,8.591733,4.7270823,0.0075558838,0.0051573748,132.39658
26.0,132.39653,1.325905,2.1463206,0.81647032,0.3480148,3.2188849,1.3462837,1.3808573,0.21542241,4.942081,2.4341347,1.2846687,8.5917311,4.7270803,0.0075558838,0.0051573748,132.39656
27.0,132.39651,1.3259058,2.1463215,0.81647062,0.34801489,3.2188857,1.3462839,1.3808576,0.21542241,4.942081,2.4341345,1.2846686,8.5917292,4.7270784,0.0075558838,0.0051573748,132.39653
28.0,132.39651,1.3259066,2.1463225,0.81647086,0.34801498,3.2188861,1.346284,1.3808577,0.21542242,4.942081,2.4341342,1.2846684,8.5917273,4.727077,0.0075558838,0.0051573748,132.39653
29.0,132.3965,1.3259072,2.146323,0.81647104,0.34801507,3.2188866,1.3462842,1.3808578,0.21542244,4.942081,2.4341342,1.2846684,8.5917263,4.7270761,0.0075558838,0.0051573748,132.39651
30.0,132.39648,1.3259078,2.1463237,0.81647122,0.34801513,3.2188871,1.3462843,1.3808579,0.21542244,4.942081,2.434134,1.2846684,8.5917253,4.7270746,0.0075558838,0.0051573748,132.3965
31.0,132.39648,1.3259082,2.1463242,0.81647134,0.34801519,3.2188876,1.3462843,1.3808581,0.21542244,4.942081,2.434134,1.2846683,8.5917244,4.7270741,0.0075558838,0.0051573748,132.39648
32.0,132.39648,1.3259087,2.1463246,0.81647146,0.34801525,3.2188878,1.3462844,1.3808581,0.21542245,4.942081,2.434134,1.2846683,8.5917234,4.7270732,0.0075558838,0.0051573748,132.39648
33.0,132.39647,1.3259089,2.1463249,0.81647158,0.34801528,3.218888,1.3462845,1.3808582,0.21542245,4.942081,2.4341338,1.2846683,8.5917225,4.7270727,0.0075558838,0.0051573748,132.39648
34.0,132.39647,1.3259093,2.1463251,0.81647164,0.34801531,3.2188883,1.3462845,1.3808582,0.21542245,4.942081,2.4341338,1.2846682,8.5917215,4.7270722,0.0075558838,0.0051573748,132.39647
35.0,132.39647,1.3259095,2.1463253,0.8164717,0.34801534,3.2188885,1.3462845,1.3808583,0.21542245,4.942081,2.4341338,1.2846682,8.5917215,4.7270718,0.0075558838,0.0051573748,132.39647
36.0,132.39645,1.3259096,2.1463256,0.81647176,0.34801537,3.2188885,1.3462846,1.3808583,0.21542247,4.942081,2.4341338,1.2846682,8.5917215,4.7270713,0.0075558838,0.0051573748,132.39647
37.0,132.39645,1.3259099,2.1463258,0.81647182,0.34801537,3.2188888,1.3462846,1.3808583,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270708,0.0075558838,0.0051573748,132.39647
38.0,132.39645,1.32591,2.1463261,0.81647187,0.3480154,3.2188888,1.3462846,1.3808584,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270708,0.0075558838,0.0051573748,132.39645
39.0,132.39645,1.3259101,2.1463261,0.81647193,0.34801543,3.218889,1.3462846,1.3808584,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270703,0.0075558838,0.0051573748,132.39645
40.0,132.39645,1.3259102,2.1463263,0.81647193,0.34801543,3.218889,1.3462846,1.3808584,0.21542247,4.942081,2.4341335,1.2846682,8.5917196,4.7270703,0.0075558838,0.0051573748,132.39645
41.0,132.39645,1.3259102,2.1463263,0.81647193,0.34801543,3.218889,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846682,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
42.0,132.39645,1.3259103,2.1463263,0.81647199,0.34801546,3.218889,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
43.0,132.39645,1.3259104,2.1463265,0.81647199,0.34801546,3.2188892,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
44.0,132.39645,1.3259104,2.1463265,0.81647199,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
45.0,132.39645,1.3259104,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
46.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
47.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
48.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
49.0,132.39645,1.3259106,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
50.0,132.39645,1.3259106,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
51.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
52.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
53.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
54.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
55.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
56.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
57.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
58.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
59.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
60.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
61.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
62.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
63.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
64.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
65.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
66.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
67.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
68.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
69.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
70.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
71.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
72.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
73.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
74.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
75.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
76.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
