data_generator_T,data_generator_V1
0.0,-14.5
10.0,-27.22854
20.0,-27.410353
30.0,-27.575912
40.0,-27.735291
50.0,-27.891769
60.0,-28.047092
70.0,-28.202269
80.0,-28.357887
90.0,-28.514393
100.0,-28.67214
110.0,-28.831488
120.0,-28.992796
130.0,-29.15646
140.0,-29.322926
150.0,-29.492695
160.0,-29.666357
170.0,-29.844614
180.0,-30.028307
190.0,-30.218481
200.0,-30.416452
210.0,-30.623949
220.0,-30.843281
230.0,-31.077692
240.0,-31.331974
250.0,-31.613562
260.0,-31.935152
270.0,-32.320343
280.0,-32.820595
290.0,-33.575214
300.0,-35.154305
310.0,-44.652355
320.0,-63.414196
330.0,-65.953667
340.0,-66.026558
350.0,-65.823593
360.0,-65.595924
370.0,-65.374268
380.0,-65.161949
390.0,-64.959175
400.0,-64.765373
410.0,-64.580162
420.0,-64.403015
430.0,-64.233536
440.0,-64.071289
450.0,-63.915928
460.0,-63.76709
470.0,-63.624466
480.0,-63.48774
490.0,-63.356636
500.0,-63.230888
510.0,-63.110249
520.0,-62.99448
530.0,-62.883362
540.0,-62.776676
550.0,-62.674232
560.0,-62.575829
570.0,-62.481289
580.0,-62.390423
590.0,-62.30307
600.0,-62.219051
610.0,-62.138206
620.0,-62.060375
630.0,-61.98539
640.0,-61.913105
650.0,-61.84333
660.0,-61.77594
670.0,-61.710712
680.0,-61.64756
690.0,-61.58617
700.0,-61.526577
710.0,-61.46825
720.0,-61.411499
730.0,-61.35537
740.0,-61.300613
750.0,-61.245712
760.0,-61.191914
770.0,-61.137985
780.0,-61.082951
790.0,-61.027885
800.0,-60.970818
810.0,-60.91283
820.0,-60.851589
830.0,-60.788193
840.0,-60.719231
850.0,-60.646461
860.0,-60.566181
870.0,-60.479424
880.0,-60.379246
890.0,-60.267803
900.0,-60.13208
910.0,-59.971916
920.0,-59.771145
930.0,-59.502506
940.0,-59.121696
950.0,-58.500446
960.0,-57.177017
970.0,-49.562412
980.0,-7.3946133
990.0,-6.5473375
1000.0,-7.3855114
1010.0,-8.8940983
1020.0,-10.524641
1030.0,-12.05316
1040.0,-13.410079
1050.0,-14.590641
1060.0,-15.613604
1070.0,-16.503437
1080.0,-17.283339
1090.0,-17.973082
1100.0,-18.588772
1110.0,-19.143299
1120.0,-19.646938
1130.0,-20.107901
1140.0,-20.532789
1150.0,-20.926966
1160.0,-21.294823
1170.0,-21.640003
1180.0,-21.965559
1190.0,-22.274082
1200.0,-22.567812
1210.0,-22.848713
1220.0,-23.118559
1230.0,-23.379
1240.0,-23.631653
1250.0,-23.878208
1260.0,-24.120619
1270.0,-24.361435
1280.0,-24.604568
1290.0,-24.857281
1300.0,-25.136797
1310.0,-25.502548
1320.0,-26.425362
1330.0,-33.72958
1340.0,-46.037891
1350.0,-62.480816
1360.0,-65.53566
1370.0,-65.734795
1380.0,-65.564583
1390.0,-65.352623
1400.0,-65.14283
1410.0,-64.941292
1420.0,-64.748489
1430.0,-64.564163
1440.0,-64.387856
1450.0,-64.21917
1460.0,-64.057693
1470.0,-63.903076
1480.0,-63.754959
1490.0,-63.613033
1500.0,-63.47699
1510.0,-63.346558
1520.0,-63.22147
1530.0,-63.101479
1540.0,-62.986351
1550.0,-62.87587
1560.0,-62.769825
1570.0,-62.668018
1580.0,-62.570255
1590.0,-62.47636
1600.0,-62.38615
1610.0,-62.299461
1620.0,-62.216122
1630.0,-62.135975
1640.0,-62.058861
1650.0,-61.984615
1660.0,-61.913086
1670.0,-61.844128
1680.0,-61.77755
1690.0,-61.713234
1700.0,-61.650951
1710.0,-61.590633
1720.0,-61.53194
1730.0,-61.474949
1740.0,-61.419071
1750.0,-61.364674
1760.0,-61.310741
1770.0,-61.258091
1780.0,-61.205143
1790.0,-61.153084
1800.0,-61.100155
1810.0,-61.047077
1820.0,-60.992825
1830.0,-60.937595
1840.0,-60.881386
1850.0,-60.819511
1860.0,-60.756718
1870.0,-60.688923
1880.0,-60.616184
1890.0,-60.535332
1900.0,-60.446983
1910.0,-60.347385
1920.0,-60.229298
1930.0,-60.092373
1940.0,-59.925903
1950.0,-59.715084
1960.0,-59.429359
1970.0,-59.0144
1980.0,-58.309765
1990.0,-56.657253
2000.0,-29.928741
2010.0,-7.0275702
2020.0,-6.6233544
2030.0,-7.669703
2040.0,-9.2344275
2050.0,-10.855047
2060.0,-12.350462
2070.0,-13.669865
2080.0,-14.81572
2090.0,-15.808941
2100.0,-16.674086
2110.0,-17.433722
2120.0,-18.106844
2130.0,-18.708839
2140.0,-19.25201
2150.0,-19.746151
2160.0,-20.19911
2170.0,-20.617203
2180.0,-21.005569
2190.0,-21.368433
2200.0,-21.709295
2210.0,-22.031109
2220.0,-22.336382
2230.0,-22.627291
2240.0,-22.905756
2250.0,-23.173517
2260.0,-23.432211
2270.0,-23.683458
2280.0,-23.928991
2290.0,-24.170847
2300.0,-24.411781
2310.0,-24.656178
2320.0,-24.912556
2330.0,-25.202457
2340.0,-25.609295
2350.0,-27.05677
2360.0,-35.541691
2370.0,-50.622509
2380.0,-63.739758
2390.0,-65.659378
2400.0,-65.709145
2410.0,-65.52066
2420.0,-65.307869
2430.0,-65.099632
2440.0,-64.899956
2450.0,-64.708961
2460.0,-64.526367
2470.0,-64.351692
2480.0,-64.184563
2490.0,-64.024559
2500.0,-63.871338
2510.0,-63.724552
2520.0,-63.583889
2530.0,-63.449051
2540.0,-63.319767
2550.0,-63.19577
2560.0,-63.076824
2570.0,-62.962696
2580.0,-62.853165
2590.0,-62.748028
2600.0,-62.647087
2610.0,-62.550156
2620.0,-62.45705
2630.0,-62.367596
2640.0,-62.281628
2650.0,-62.198975
2660.0,-62.11948
2670.0,-62.04298
2680.0,-61.969318
2690.0,-61.898346
2700.0,-61.829899
2710.0,-61.763813
2720.0,-61.69994
2730.0,-61.638084
2740.0,-61.578121
2750.0,-61.519798
2760.0,-61.463051
2770.0,-61.407494
2780.0,-61.35321
2790.0,-61.29953
2800.0,-61.246902
2810.0,-61.194054
2820.0,-61.142078
2830.0,-61.089409
2840.0,-61.03569
2850.0,-60.981384
2860.0,-60.925404
2870.0,-60.867683
2880.0,-60.808498
2890.0,-60.742207
2900.0,-60.673794
2910.0,-60.601807
2920.0,-60.51733
2930.0,-60.426983
2940.0,-60.322918
2950.0,-60.204884
2960.0,-60.059708
2970.0,-59.884979
2980.0,-59.661594
2990.0,-59.357273
3000.0,-58.898941
3010.0,-58.085884
3020.0,-55.921825
3030.0,-11.514584
3040.0,-6.763772
3050.0,-6.7607932
3060.0,-7.9780726
3070.0,-9.5804644
3080.0,-11.183702
3090.0,-12.64366
3100.0,-13.925302
3110.0,-15.036977
3120.0,-16.001173
3130.0,-16.842308
3140.0,-17.582253
3150.0,-18.239214
3160.0,-18.827879
3170.0,-19.35997
3180.0,-19.844835
3190.0,-20.289963
3200.0,-20.701395
3210.0,-21.084061
3220.0,-21.442015
3230.0,-21.778633
3240.0,-22.096764
3250.0,-22.398838
3260.0,-22.68697
3270.0,-22.963037
3280.0,-23.228752
3290.0,-23.485741
3300.0,-23.735634
3310.0,-23.980204
3320.0,-24.221601
3330.0,-24.462816
3340.0,-24.708803
3350.0,-24.969662
3360.0,-25.2728
3370.0,-25.739902
3380.0,-28.312746
3390.0,-37.518131
3400.0,-55.060143
3410.0,-64.555275
3420.0,-65.72364
3430.0,-65.675758
3440.0,-65.475998
3450.0,-65.263206
3460.0,-65.056725
3470.0,-64.858856
3480.0,-64.669693
3490.0,-64.488785
3500.0,-64.31575
3510.0,-64.150146
3520.0,-63.991615
3530.0,-63.839775
3540.0,-63.694313
3550.0,-63.554901
3560.0,-63.421265
3570.0,-63.293114
3580.0,-63.170208
3590.0,-63.052296
3600.0,-62.939159
3610.0,-62.830574
3620.0,-62.726341
3630.0,-62.626263
3640.0,-62.530155
3650.0,-62.437836
3660.0,-62.349136
3670.0,-62.263878
3680.0,-62.181908
3690.0,-62.103058
3700.0,-62.027176
3710.0,-61.954094
3720.0,-61.883671
3730.0,-61.815735
3740.0,-61.750134
3750.0,-61.686695
3760.0,-61.625263
3770.0,-61.565651
3780.0,-61.507698
3790.0,-61.451191
3800.0,-61.395962
3810.0,-61.341751
3820.0,-61.288406
3830.0,-61.235569
3840.0,-61.18314
3850.0,-61.130558
3860.0,-61.077911
3870.0,-61.024181
3880.0,-60.969963
3890.0,-60.913589
3900.0,-60.854931
3910.0,-60.793839
3920.0,-60.729286
3930.0,-60.658512
3940.0,-60.584408
3950.0,-60.499645
3960.0,-60.406002
3970.0,-60.299126
3980.0,-60.174938
3990.0,-60.025867
4000.0,-59.842415
4010.0,-59.60516
4020.0,-59.276684
4030.0,-58.770321
4040.0,-57.817787
4050.0,-54.800915
4060.0,-8.6029911
4070.0,-6.6030822
4080.0,-6.9542365
4090.0,-8.302928
4100.0,-9.9269094
4110.0,-11.506701
4120.0,-12.929749
4130.0,-14.173977
4140.0,-15.2524
4150.0,-16.188581
4160.0,-17.006605
4170.0,-17.727602
4180.0,-18.368999
4190.0,-18.944809
4200.0,-19.4662
4210.0,-19.942089
4220.0,-20.379625
4230.0,-20.784595
4240.0,-21.161722
4250.0,-21.5149
4260.0,-21.847385
4270.0,-22.161928
4280.0,-22.460886
4290.0,-22.746317
4300.0,-23.020056
4310.0,-23.283791
4320.0,-23.539139
4330.0,-23.78775
4340.0,-24.031452
4350.0,-24.27252
4360.0,-24.514231
4370.0,-24.762236
4380.0,-25.028671
4390.0,-25.349154
4400.0,-25.910988
4410.0,-30.322435
4420.0,-39.926163
4430.0,-58.609119
4440.0,-65.069839
4450.0,-65.747406
4460.0,-65.637421
4470.0,-65.430786
4480.0,-65.218819
4490.0,-65.014091
4500.0,-64.818115
4510.0,-64.630737
4520.0,-64.451538
4530.0,-64.280106
4540.0,-64.116035
4550.0,-63.95895
4560.0,-63.808495
4570.0,-63.664337
4580.0,-63.526173
4590.0,-63.393715
4600.0,-63.266697
4610.0,-63.144867
4620.0,-63.027985
4630.0,-62.915825
4640.0,-62.808178
4650.0,-62.704842
4660.0,-62.605618
4670.0,-62.510326
4680.0,-62.418785
4690.0,-62.330826
4700.0,-62.246281
4710.0,-62.164982
4720.0,-62.086773
4730.0,-62.011494
4740.0,-61.938988
4750.0,-61.869106
4760.0,-61.801674
4770.0,-61.736549
4780.0,-61.673538
4790.0,-61.612522
4800.0,-61.553253
4810.0,-61.495659
4820.0,-61.439377
4830.0,-61.384483
4840.0,-61.330338
4850.0,-61.277359
4860.0,-61.224358
4870.0,-61.172337
4880.0,-61.120411
4890.0,-61.06673
4900.0,-61.014416
4910.0,-60.957558
4920.0,-60.901997
4930.0,-60.842655
4940.0,-60.780319
4950.0,-60.714306
4960.0,-60.643513
4970.0,-60.566315
4980.0,-60.480412
4990.0,-60.386837
5000.0,-60.27401
5010.0,-60.145813
5020.0,-59.992573
5030.0,-59.798553
5040.0,-59.544235
5050.0,-59.187813
5060.0,-58.621082
5070.0,-57.482521
5080.0,-52.778156
5090.0,-7.7687511
5100.0,-6.5386987
5110.0,-7.1883035
5120.0,-8.6388292
5130.0,-10.27061
5140.0,-11.822376
5150.0,-13.207698
5160.0,-14.415178
5170.0,-15.461443
5180.0,-16.370695
5190.0,-17.166557
5200.0,-17.869387
5210.0,-18.495848
5220.0,-19.059299
5230.0,-19.570389
5240.0,-20.037621
5250.0,-20.467827
5260.0,-20.866543
5270.0,-21.238302
5280.0,-21.586853
5290.0,-21.915329
5300.0,-22.226389
5310.0,-22.522324
5320.0,-22.805134
5330.0,-23.076618
5340.0,-23.338446
5350.0,-23.592228
5360.0,-23.839638
5370.0,-24.082571
5380.0,-24.32345
5390.0,-24.565897
5400.0,-24.816416
5410.0,-25.08979
5420.0,-25.433414
5430.0,-26.156048
5440.0,-32.362217
5450.0,-43.095539
5460.0,-61.152836
5470.0,-65.387421
5480.0,-65.746368
5490.0,-65.596077
5500.0,-65.385635
5510.0,-65.174812
5520.0,-64.971924
5530.0,-64.777779
5540.0,-64.592171
5550.0,-64.414642
5560.0,-64.244812
5570.0,-64.082245
5580.0,-63.926586
5590.0,-63.777485
5600.0,-63.634621
5610.0,-63.497684
5620.0,-63.366402
5630.0,-63.240501
5640.0,-63.119736
5650.0,-63.003872
5660.0,-62.892685
5670.0,-62.785965
5680.0,-62.683514
5690.0,-62.58514
5700.0,-62.490654
5710.0,-62.399887
5720.0,-62.312664
5730.0,-62.228817
5740.0,-62.148186
5750.0,-62.07061
5760.0,-61.99593
5770.0,-61.923992
5780.0,-61.854645
5790.0,-61.787708
5800.0,-61.723053
5810.0,-61.660465
5820.0,-61.599857
5830.0,-61.54092
5840.0,-61.483681
5850.0,-61.427628
5860.0,-61.373043
5870.0,-61.319004
5880.0,-61.266243
5890.0,-61.213245
5900.0,-61.161278
5910.0,-61.108906
5920.0,-61.055939
5930.0,-61.00169
5940.0,-60.947296
5950.0,-60.889023
5960.0,-60.829716
5970.0,-60.768204
5980.0,-60.699219
5990.0,-60.627312
6000.0,-60.550499
6010.0,-60.461178
6020.0,-60.365379
6030.0,-60.24847
6040.0,-60.115265
6050.0,-59.954453
6060.0,-59.752907
6070.0,-59.480003
6080.0,-59.091698
6090.0,-58.451618
6100.0,-57.055855
6110.0,-47.54958
6120.0,-7.2929368
6130.0,-6.5613713
6140.0,-7.4556675
6150.0,-8.980051
6160.0,-10.60876
6170.0,-12.129069
6180.0,-13.476475
6190.0,-14.648169
6200.0,-15.663508
6210.0,-16.547007
6220.0,-17.321707
6230.0,-18.007187
6240.0,-18.619366
6250.0,-19.170984
6260.0,-19.672192
6270.0,-20.131105
6280.0,-20.554256
6290.0,-20.946947
6300.0,-21.31353
6310.0,-21.657608
6320.0,-21.98221
6330.0,-22.289906
6340.0,-22.582916
6350.0,-22.863197
6360.0,-23.132513
6370.0,-23.392511
6380.0,-23.644808
6390.0,-23.891106
6400.0,-24.133377
6410.0,-24.374224
6420.0,-24.617676
6430.0,-24.8713
6440.0,-25.153341
6450.0,-25.528593
6460.0,-26.553755
6470.0,-34.208252
6480.0,-47.207165
6490.0,-62.866524
6500.0,-65.575729
6510.0,-65.728844
6520.0,-65.553055
6530.0,-65.340698
6540.0,-65.131355
6550.0,-64.930283
6560.0,-64.737991
6570.0,-64.5541
6580.0,-64.378242
6590.0,-64.209961
6600.0,-64.048889
6610.0,-63.894638
6620.0,-63.74688
6630.0,-63.605289
6640.0,-63.46957
6650.0,-63.339439
6660.0,-63.214642
6670.0,-63.094929
6680.0,-62.980068
6690.0,-62.869839
6700.0,-62.764034
6710.0,-62.662457
6720.0,-62.564919
6730.0,-62.47123
6740.0,-62.381226
6750.0,-62.294724
6760.0,-62.211571
6770.0,-62.131596
6780.0,-62.054642
6790.0,-61.980553
6800.0,-61.909172
6810.0,-61.840351
6820.0,-61.773903
6830.0,-61.709705
6840.0,-61.647537
6850.0,-61.587315
6860.0,-61.528721
6870.0,-61.47179
6880.0,-61.415997
6890.0,-61.361641
6900.0,-61.307766
6910.0,-61.255135
6920.0,-61.202206
6930.0,-61.150173
6940.0,-61.097279
6950.0,-61.044048
6960.0,-60.989815
6970.0,-60.934326
6980.0,-60.876637
6990.0,-60.816669
7000.0,-60.753815
7010.0,-60.68457
7020.0,-60.611851
7030.0,-60.531052
7040.0,-60.441998
7050.0,-60.339375
7060.0,-60.222351
7070.0,-60.084305
7080.0,-59.916584
7090.0,-59.700035
7100.0,-59.411304
7110.0,-58.986004
7120.0,-58.254948
7130.0,-56.488201
7140.0,-20.894732
7150.0,-6.9468794
7160.0,-6.6531887
7170.0,-7.7498083
7180.0,-9.3263836
7190.0,-10.943007
7200.0,-12.429171
7210.0,-13.738502
7220.0,-14.875172
7230.0,-15.860573
7240.0,-16.719238
7250.0,-17.473562
7260.0,-18.142324
7270.0,-18.740726
7280.0,-19.280909
7290.0,-19.772552
7300.0,-20.223404
7310.0,-20.639706
7320.0,-21.026539
7330.0,-21.388083
7340.0,-21.727804
7350.0,-22.048628
7360.0,-22.353043
7370.0,-22.643206
7380.0,-22.921026
7390.0,-23.188236
7400.0,-23.446468
7410.0,-23.69735
7420.0,-23.942617
7430.0,-24.18434
7440.0,-24.425329
7450.0,-24.670113
7460.0,-24.927589
7470.0,-25.22069
7480.0,-25.641233
7490.0,-27.312349
7500.0,-36.043919
7510.0,-51.865665
7520.0,-63.994499
7530.0,-65.68129
7540.0,-65.700768
7550.0,-65.508736
7560.0,-65.29586
7570.0,-65.088104
7580.0,-64.888908
7590.0,-64.698418
7600.0,-64.516266
7610.0,-64.342041
7620.0,-64.175323
7630.0,-64.015717
7640.0,-63.862869
7650.0,-63.716438
7660.0,-63.576115
7670.0,-63.441601
7680.0,-63.312618
7690.0,-63.188915
7700.0,-63.070248
7710.0,-62.956383
7720.0,-62.847107
7730.0,-62.742214
7740.0,-62.641506
7750.0,-62.544796
7760.0,-62.4519
7770.0,-62.362648
7780.0,-62.276871
7790.0,-62.194401
7800.0,-62.115078
7810.0,-62.038746
7820.0,-61.96524
7830.0,-61.894413
7840.0,-61.826107
7850.0,-61.760147
7860.0,-61.696392
7870.0,-61.634651
7880.0,-61.574783
7890.0,-61.516563
7900.0,-61.459877
7910.0,-61.404411
7920.0,-61.35014
7930.0,-61.296555
7940.0,-61.243858
7950.0,-61.191113
7960.0,-61.139038
7970.0,-61.086117
7980.0,-61.032665
7990.0,-60.978222
8000.0,-60.922287
8010.0,-60.864201
8020.0,-60.803436
8030.0,-60.739151
8040.0,-60.670216
8050.0,-60.59544
8060.0,-60.513927
8070.0,-60.420448
8080.0,-60.316158
8090.0,-60.195568
8100.0,-60.053013
8110.0,-59.873863
8120.0,-59.646767
8130.0,-59.336391
8140.0,-58.867393
8150.0,-58.019432
8160.0,-55.673229
8170.0,-10.241731
8180.0,-6.7104568
8190.0,-6.8068089
8200.0,-8.0639515
8210.0,-9.6739025
8220.0,-11.271123
8230.0,-12.72129
8240.0,-13.992819
8250.0,-15.095459
8260.0,-16.052021
8270.0,-16.886858
8280.0,-17.621637
8290.0,-18.274357
8300.0,-18.85952
8310.0,-19.3887
8320.0,-19.871122
8330.0,-20.314186
8340.0,-20.723862
8350.0,-21.105022
8360.0,-21.461679
8370.0,-21.797176
8380.0,-22.114332
8390.0,-22.415562
8400.0,-22.702961
8410.0,-22.978395
8420.0,-23.24357
8430.0,-23.500113
8440.0,-23.749653
8450.0,-23.99398
8460.0,-24.235275
8470.0,-24.476603
8480.0,-24.723087
8490.0,-24.985329
8500.0,-25.292669
8510.0,-25.780972
8520.0,-28.792875
8530.0,-38.110313
8540.0,-56.116882
8550.0,-64.71843
8560.0,-65.732773
8570.0,-65.66581
8580.0,-65.463753
8590.0,-65.251213
8600.0,-65.045166
8610.0,-64.847839
8620.0,-64.659149
8630.0,-64.478722
8640.0,-64.306114
8650.0,-64.140938
8660.0,-63.982788
8670.0,-63.831329
8680.0,-63.686218
8690.0,-63.547146
8700.0,-63.413826
8710.0,-63.285984
8720.0,-63.163368
8730.0,-63.045738
8740.0,-62.932861
8750.0,-62.824532
8760.0,-62.720539
8770.0,-62.620693
8780.0,-62.524807
8790.0,-62.432697
8800.0,-62.344196
8810.0,-62.259132
8820.0,-62.177341
8830.0,-62.098667
8840.0,-62.022945
8850.0,-61.95002
8860.0,-61.879742
8870.0,-61.811943
8880.0,-61.746471
8890.0,-61.683151
8900.0,-61.62183
8910.0,-61.562309
8920.0,-61.504456
8930.0,-61.448006
8940.0,-61.392872
8950.0,-61.338673
8960.0,-61.285439
8970.0,-61.232525
8980.0,-61.18029
8990.0,-61.127491
9000.0,-61.075165
9010.0,-61.021271
9020.0,-60.966541
9030.0,-60.910164
9040.0,-60.851624
9050.0,-60.790108
9060.0,-60.724842
9070.0,-60.654961
9080.0,-60.578686
9090.0,-60.49543
9100.0,-60.399513
9110.0,-60.292088
9120.0,-60.167171
9130.0,-60.018456
9140.0,-59.831112
9150.0,-59.589672
9160.0,-59.252693
9170.0,-58.730946
9180.0,-57.73386
9190.0,-54.382305
9200.0,-8.3033857
9210.0,-6.5773134
9220.0,-7.0130873
9230.0,-8.3923998
9240.0,-10.019555
9250.0,-11.592253
9260.0,-13.005236
9270.0,-14.23952
9280.0,-15.309191
9290.0,-16.238031
9300.0,-17.050007
9310.0,-17.766048
9320.0,-18.40337
9330.0,-18.975811
9340.0,-19.494394
9350.0,-19.967926
9360.0,-20.403469
9370.0,-20.806738
9380.0,-21.182404
9390.0,-21.534325
9400.0,-21.865721
9410.0,-22.179319
9420.0,-22.477455
9430.0,-22.762173
9440.0,-23.035299
9450.0,-23.298513
9460.0,-23.553434
9470.0,-23.801716
9480.0,-24.0452
9490.0,-24.286201
9500.0,-24.528086
9510.0,-24.776714
9520.0,-25.044867
9530.0,-25.370905
9540.0,-25.967436
9550.0,-30.885641
9560.0,-40.692066
9570.0,-59.391499
9580.0,-65.173561
9590.0,-65.74968
9600.0,-65.626534
9610.0,-65.418602
9620.0,-65.206924
9630.0,-65.002678
9640.0,-64.807205
9650.0,-64.620293
9660.0,-64.441559
9670.0,-64.270554
9680.0,-64.106895
9690.0,-63.950191
9700.0,-63.800102
9710.0,-63.656296
9720.0,-63.518463
9730.0,-63.386326
9740.0,-63.259609
9750.0,-63.138065
9760.0,-63.021461
9770.0,-62.909565
9780.0,-62.80217
9790.0,-62.69907
9800.0,-62.600079
9810.0,-62.505005
9820.0,-62.413673
