data_set_value_component_environment_variable_time,data_set_value_component_contraction_variable_a,data_set_value_component_contraction_variable_b,data_set_value_component_contraction_variable_Po,data_set_value_component_contraction_variable_alpha,data_set_value_component_contraction_variable_L_se_o,data_set_value_component_contraction_variable_L,data_set_value_component_contraction_variable_v,data_set_value_component_contraction_variable_L_se,data_set_value_component_contraction_variable_L_ce,data_set_value_component_contraction_variable_P
0.0,37.24,0.325,144.9,1449.027,0.3,1.0,-1.2645676691729288,0.30000000000000004,0.7,8.043715693517584e-14
0.1,37.24,0.325,144.9,1449.027,0.3,1.0,-0.23864780781596656,0.34677769413825077,0.6532223058617492,67.78214180406711
0.2,37.24,0.325,144.9,1449.027,0.3,1.0,-0.1292571457699703,0.36423120803381315,0.6357687919661869,93.07275468361219
0.30000000000000004,37.24,0.325,144.9,1449.027,0.3,1.0,-0.08246528934070509,0.3745585867870268,0.6254414132129732,108.0374053362451
0.4,37.24,0.325,144.9,1449.027,0.3,1.0,-0.05645770169280734,0.3813941653616141,0.6186058346383859,117.94234325144359
0.5,37.24,0.325,144.9,1449.027,0.3,1.0,-0.04017902301593463,0.3861681295401157,0.6138318704598843,124.85994624312525
0.6000000000000001,37.24,0.325,144.9,1449.027,0.3,1.0,-0.029287592249668246,0.38960715495433107,0.6103928450456689,129.8431869220095
0.7000000000000001,37.24,0.325,144.9,1449.027,0.3,1.0,-0.021689674100589307,0.3921341825031155,0.6078658174968845,133.50491806994197
0.8,37.24,0.325,144.9,1449.027,0.3,1.0,-0.016239915323394753,0.3940160487926534,0.6059839512073466,136.2317931338722
0.9,37.24,0.325,144.9,1449.027,0.3,1.0,-0.012255707701158669,0.39543032763207553,0.6045696723679245,138.28112135772352
1.0,37.24,0.325,144.9,1449.027,0.3,1.0,-0.009300780293528125,0.3965010141471965,0.6034989858528035,139.83257502666976
