value_component_environment_variable_time,value_component_Glc_x_0_variable_Glc_x_0,value_component_Glc_x_variable_Glc_x,value_component_Glc_variable_Glc,value_component_G6P_variable_G6P,value_component_F6P_variable_F6P,value_component_FBP_variable_FBP,value_component_GAP_variable_GAP,value_component_DHAP_variable_DHAP,value_component_BPG_variable_BPG,value_component_PEP_variable_PEP,value_component_Pyr_variable_Pyr,value_component_ATP_variable_ATP,value_component_ADP_variable_ADP,value_component_AMP_variable_AMP,value_component_CN_x_0_variable_CN_x_0,value_component_CN_x_variable_CN_x,value_component_ACA_variable_ACA,value_component_ACA_x_variable_ACA_x,value_component_EtOH_variable_EtOH,value_component_EtOH_x_variable_EtOH_x,value_component_Glyc_variable_Glyc,value_component_Glyc_x_variable_Glyc_x,value_component_NADH_variable_NADH,value_component_NAD_variable_NAD,value_component_inGlc_variable_inGlc,value_component_GlcTrans_variable_GlcTrans,value_component_GlcTrans_variable_K2_Glc,value_component_GlcTrans_variable_K2_IG6P,value_component_GlcTrans_variable_K2_IIG6P,value_component_GlcTrans_variable_V_2m,value_component_GlcTrans_variable_P2,value_component_HK_variable_HK,value_component_HK_variable_K3_DGlc,value_component_HK_variable_K3_Glc,value_component_HK_variable_K3_ATP,value_component_HK_variable_V_3m,value_component_PGI_variable_PGI,value_component_PGI_variable_V_4m,value_component_PGI_variable_K4_G6P,value_component_PGI_variable_K4_F6P,value_component_PGI_variable_K4_eq,value_component_PFK_variable_PFK,value_component_PFK_variable_K5,value_component_PFK_variable_kappa5,value_component_PFK_variable_V_5m,value_component_ALD_variable_ALD,value_component_ALD_variable_K6_eq,value_component_ALD_variable_K6_FBP,value_component_ALD_variable_K6_DHAP,value_component_ALD_variable_K6_GAP,value_component_ALD_variable_K6_IGAP,value_component_ALD_variable_V_6r,value_component_ALD_variable_V_6f,value_component_TIM_variable_TIM,value_component_TIM_variable_K7_eq,value_component_TIM_variable_K7_DHAP,value_component_TIM_variable_K7_GAP,value_component_TIM_variable_V_7m,value_component_GAPDH_variable_GAPDH,value_component_GAPDH_variable_K8_NAD,value_component_GAPDH_variable_K8_NADH,value_component_GAPDH_variable_K8_GAP,value_component_GAPDH_variable_K8_BPG,value_component_GAPDH_variable_K8_eq,value_component_GAPDH_variable_V_8m,value_component_lpPEP_variable_lpPEP,value_component_lpPEP_variable_k9f,value_component_lpPEP_variable_k9r,value_component_PK_variable_PK,value_component_PK_variable_K10_PEP,value_component_PK_variable_K10_ADP,value_component_PK_variable_V_10m,value_component_PDC_variable_PDC,value_component_PDC_variable_K11,value_component_PDC_variable_V_11m,value_component_ADH_variable_ADH,value_component_ADH_variable_K12_NADH,value_component_ADH_variable_K12_ACA,value_component_ADH_variable_V_12m,value_component_outEtOH_variable_outEtOH,value_component_difEtOH_variable_difEtOH,value_component_difEtOH_variable_k13,value_component_lpGlyc_variable_lpGlyc,value_component_lpGlyc_variable_K15_NADH,value_component_lpGlyc_variable_K15_INADH,value_component_lpGlyc_variable_K15_INAD,value_component_lpGlyc_variable_K15_DHAP,value_component_lpGlyc_variable_V_15m,value_component_outGlyc_variable_outGlyc,value_component_difGlyc_variable_difGlyc,value_component_difGlyc_variable_k16,value_component_outACA_variable_outACA,value_component_difACA_variable_difACA,value_component_difACA_variable_k18,value_component_lacto_variable_lacto,value_component_lacto_variable_k20,value_component_inCN_variable_inCN,value_component_storage_variable_storage,value_component_storage_variable_k22,value_component_consum_variable_consum,value_component_consum_variable_k23,value_component_AK_variable_AK,value_component_AK_variable_k24f,value_component_AK_variable_k24r,value_component_model_parameters_variable_y_vol,value_component_model_parameters_variable_k0
0.0,24.0,6.7,0.573074,4.2,0.49,4.64,0.115,2.95,0.00027,0.04,8.7,2.1,1.5,0.33,5.6,5.20358,1.48153,1.28836,19.2379,16.4514,4.196,1.68478,0.33,0.65,0.8304,1.969531984739183,1.7,1.2,7.2,1014.96,1.0,47.99372673525548,0.37,0.0,0.1,51.7547,28.06650141452249,496.042,0.8,0.15,0.13,28.066524985487398,0.021,0.15,45.4327,28.066494983643395,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.295108176655596,0.055,1.23,1.27,116.365,51.361708782191556,0.1,0.06,0.6,0.01,0.0055,833.858,51.361650000000026,443866.0,1528.62,51.36167664670659,0.2,0.17,343.096,51.36170666666666,0.3,53.1328,46.59035012203961,0.1,0.71,89.8023,0.7896672,0.7896657627118644,16.72,4.771300667689254,0.13,0.034,0.13,25.0,81.4797,0.08086944,0.08086979661016948,1.9,0.06184128,0.08086947457627122,24.7,0.01902806846874646,0.00283828,0.01902816,19.927202400000002,2.25932,6.7359599999999995,3.2076,0.0004500000000007276,432.9,133.333,59.0,0.048
0.1,24.0,6.66693742485773,2.5411396213955886,4.208107987642789,0.48633805829505555,4.732401408370912,0.11625794686774335,2.9734070701553414,0.00025436825740066723,0.040190419380938404,8.716249531785138,2.009674457494293,1.5518300210019822,0.3684955215037219,5.6,5.203580024931047,1.4777202616525902,1.2883125229921712,19.242427654871133,16.451437056437793,4.1989514848468374,1.684782426801155,0.33671412521104965,0.6432858747889505,0.8319870036068291,0.905315325376749,1.7,1.2,7.2,1014.96,1.0,48.96355902378868,0.37,0.0,0.1,51.7547,30.475815011242815,496.042,0.8,0.15,0.13,30.596462440889987,0.021,0.15,45.4327,28.5941814735271,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.17662818149779,0.055,1.23,1.27,116.365,51.74372208637233,0.1,0.06,0.6,0.01,0.0055,833.858,51.743905200661786,443866.0,1528.62,51.74118679728593,0.2,0.17,343.096,51.364898618853985,0.3,53.1328,46.76834431684423,0.1,0.71,89.8023,0.7896689787090141,0.79093835264077,16.72,4.863145096082549,0.13,0.034,0.13,25.0,81.4797,0.08086955648645544,0.0809647662760474,1.9,0.06183900110362422,0.07929442618495504,24.7,0.019027367361675977,0.00283828,0.019028158803309724,19.10690461949088,2.25932,6.446231789858694,3.2076,-0.5026772860161373,432.9,133.333,59.0,0.048
0.2,24.0,6.663815930234534,2.7432506009493527,4.108856663593596,0.4716130686760454,5.004467120175317,0.11982610823533052,3.052721497546335,0.00024133745992314132,0.040496224190417165,8.777984235377744,1.9224740234215414,1.5984623262747124,0.40906365030374403,5.6,5.203580313122929,1.4678312269421472,1.2879614579782814,19.255962891096278,16.451741166611757,4.2164469733851,1.6848151204089905,0.34864065630196456,0.6313593436980356,0.8321368353487424,0.8424138857845929,1.7,1.2,7.2,1014.96,1.0,48.869813076319396,0.37,0.0,0.1,51.7547,32.1422146537177,496.042,0.8,0.15,0.13,32.285322423659885,0.021,0.15,45.4327,29.13978169986143,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.122484167236742,0.055,1.23,1.27,116.365,52.222047820965976,0.1,0.06,0.6,0.01,0.0055,833.858,52.222111178026324,443866.0,1528.62,52.2189959600462,0.2,0.17,343.096,51.37692120723002,0.3,53.1328,47.03474189089263,0.1,0.71,89.8023,0.7896835759973644,0.7946879192098505,16.72,5.076439795030226,0.13,0.034,0.13,25.0,81.4797,0.08087112577963154,0.08152712746872216,1.9,0.06182214998295751,0.07530141175266922,24.7,0.019022183459777877,0.00283828,0.01902814497009939,17.846753220152724,2.25932,6.166527677526935,3.2076,-0.23799757157314616,432.9,133.333,59.0,0.048
0.30000000000000004,24.0,6.663365162353455,2.7935029275586745,4.0215155007201036,0.46182135835250465,5.306238559711997,0.12359344722549102,3.1442413332200885,0.0002424126521403414,0.04077026422208111,8.878189627929618,1.919295970983452,1.5997749733145092,0.4109290557020433,5.6,5.203581403776515,1.4596747391892397,1.2872371863423526,19.268950378084995,16.452426448966122,4.2505595754461645,1.6849316420755598,0.3569487004360835,0.6230512995639166,0.8321584722070342,0.8330198699707188,1.7,1.2,7.2,1014.96,1.0,48.871136015284364,0.37,0.0,0.1,51.7547,31.939498718950432,496.042,0.8,0.15,0.13,31.9801507546099,0.021,0.15,45.4327,29.32237227863294,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.228963348597446,0.055,1.23,1.27,116.365,52.51895976831124,0.1,0.06,0.6,0.01,0.0055,833.858,52.51893560089272,443866.0,1528.62,52.51667002737911,0.2,0.17,343.096,51.39609149361935,0.3,53.1328,47.19405323694087,0.1,0.71,89.8023,0.7897164695503739,0.7981742388960601,16.72,5.274503199250333,0.13,0.034,0.13,25.0,81.4797,0.08087671881962687,0.08262191649837541,1.9,0.06178738494443293,0.07218995856471376,24.7,0.01901149051889153,0.00283828,0.019028092618727257,17.438512839603394,2.25932,6.156333756526521,3.2076,0.18936520566205672,432.9,133.333,59.0,0.048
0.4,24.0,6.663485230244606,2.8045850195320936,4.022039132461676,0.4648438510093003,5.499251856031327,0.12588812106533795,3.205773287824692,0.0002556528304463132,0.04091802613125509,8.993106089192269,1.9917438588350402,1.5609549227584765,0.3773012184064911,5.6,5.2035837277593355,1.456864950908553,1.2863187522753057,19.275243051825377,16.45336523201852,4.292420301696218,1.6851722631463801,0.35831342319885445,0.6216865768011458,0.8321527089482589,0.8291527514920327,1.7,1.2,7.2,1014.96,1.0,48.971597889765206,0.37,0.0,0.1,51.7547,30.32267095081079,496.042,0.8,0.15,0.13,30.219359265306476,0.021,0.15,45.4327,29.15225293368269,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.409825392396378,0.055,1.23,1.27,116.365,52.549904961761484,0.1,0.06,0.6,0.01,0.0055,833.858,52.55047508677933,443866.0,1528.62,52.549142963188594,0.2,0.17,343.096,51.41756724068202,0.3,53.1328,47.203631475463645,0.1,0.71,89.8023,0.789761531136889,0.7996914770706891,16.72,5.369329668623571,0.13,0.034,0.13,25.0,81.4797,0.08088826863102624,0.08396222497024902,1.9,0.06174330010921467,0.07139815434307131,24.7,0.018997934447861933,0.00283828,0.019027981067551877,18.09912274430434,2.25932,6.388717601599275,3.2076,0.4423315754472128,432.9,133.333,59.0,0.048
0.5,24.0,6.663929945574229,2.784212467239063,4.128874514082877,0.48169244655010873,5.505610039553108,0.12587225516130285,3.2143998204011357,0.00027533411168271924,0.04090147503223781,9.095935442167551,2.0974129146799,1.50118574404309,0.33140134127700543,5.6,5.203587386471985,1.4597816944354307,1.2854485580393133,19.27332708277152,16.454333658510183,4.329440479633035,1.6855408209872431,0.35287297021924857,0.627127029780752,0.832131362612437,0.8264443461117277,1.7,1.2,7.2,1014.96,1.0,49.10248860948538,0.37,0.0,0.1,51.7547,28.020855571442723,496.042,0.8,0.15,0.13,27.79956702405352,0.021,0.15,45.4327,28.721187702799682,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.59286354088023,0.055,1.23,1.27,116.365,52.32612394404144,0.1,0.06,0.6,0.01,0.0055,833.858,52.3259327711813,443866.0,1528.62,52.326884163552556,0.2,0.17,343.096,51.43633879098994,0.3,53.1328,47.07619192857662,0.1,0.71,89.8023,0.7898080156084888,0.7988740687059244,16.72,5.329816466369175,0.13,0.034,0.13,25.0,81.4797,0.08090595940738766,0.08514253138011871,1.9,0.06170153078588704,0.07298353337261185,24.7,0.01898509569979198,0.00283828,0.019027805449344713,19.56560891816641,2.25932,6.727661665127247,3.2076,0.42875876663333656,432.9,133.333,59.0,0.048
0.6000000000000001,24.0,6.664551885032812,2.7418939358780223,4.2960520000061955,0.5044379152845866,5.344321071605383,0.1238338288757311,3.171903479497851,0.0002898898381651256,0.04076075292275575,9.16815152859729,2.172808551814371,1.4563794442193625,0.30081200396625907,5.6,5.203592141884219,1.4664760749205208,1.2848288364287517,19.26521864191165,16.45512006807892,4.351363466697555,1.6860027638280177,0.34443377965406796,0.6355662203459322,0.8321015095184251,0.825889134710585,1.7,1.2,7.2,1014.96,1.0,49.18554581654648,0.37,0.0,0.1,51.7547,26.486556348193034,496.042,0.8,0.15,0.13,26.28595145309598,0.021,0.15,45.4327,28.302828083881764,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.685050707381436,0.055,1.23,1.27,116.365,52.01300375901547,0.1,0.06,0.6,0.01,0.0055,833.858,52.012901573344664,443866.0,1528.62,52.01454736141237,0.2,0.17,343.096,51.44927814762408,0.3,53.1328,46.89291399523514,0.1,0.71,89.8023,0.7898457632677881,0.7963533585505631,16.72,5.194373360570029,0.13,0.034,0.13,25.0,81.4797,0.08092813266374485,0.08583364975342576,1.9,0.06167178414858008,0.0760455388262152,24.7,0.018975960225408105,0.00283828,0.01902757718955749,21.08961920671833,2.25932,6.9695007107997755,3.2076,0.1416536594285276,432.9,133.333,59.0,0.048
0.7000000000000001,24.0,6.665039514976668,2.7041588085179487,4.403325231565621,0.5153645742519595,5.1773309983711915,0.12178349927980925,3.1200163613570493,0.0002850389499812441,0.04064853576396252,9.217304429187827,2.153736380323569,1.4682694736372612,0.3079941460391803,5.6,5.203597562175707,1.4712033259268642,1.2844963942413807,19.258353427021913,16.455648959309883,4.3576521687150285,1.6865044939272718,0.3408987802174083,0.6391012197825916,0.8320781032811199,0.8291806838643487,1.7,1.2,7.2,1014.96,1.0,49.15985083300023,0.37,0.0,0.1,51.7547,27.38373097353005,496.042,0.8,0.15,0.13,27.38552589836637,0.021,0.15,45.4327,28.337647812658304,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.590169778325766,0.055,1.23,1.27,116.365,51.93898013123564,0.1,0.06,0.6,0.01,0.0055,833.858,51.93921173266392,443866.0,1528.62,51.939500416465634,0.2,0.17,343.096,51.45797283453543,0.3,53.1328,46.83284667596072,0.1,0.71,89.8023,0.7898711500468744,0.7942579440702564,16.72,5.093477912930043,0.13,0.034,0.13,25.0,81.4797,0.08095221570850905,0.0860200098660464,1.9,0.061655826923586274,0.0781637493666346,24.7,0.018971070064216333,0.00283828,0.01902731701556604,21.426491095913235,2.25932,6.908324813525879,3.2076,-0.2822087668469635,432.9,133.333,59.0,0.048
0.8,24.0,6.665070581437516,2.70114231622445,4.359184414069133,0.5051479243162716,5.1935824797820525,0.1220857851623508,3.1174477439025083,0.0002657331760151938,0.04070862138534658,9.276509391105135,2.054547797380757,1.5265990909884597,0.3488531116308209,5.6,5.2036033589820745,1.4684706009178572,1.2842258754935738,19.26112774674889,16.456093758041607,4.360503674864924,1.6870125705546566,0.3465851315505859,0.6334148684494141,0.8320766120909993,0.8341596911201337,1.7,1.2,7.2,1014.96,1.0,49.04080040653447,0.37,0.0,0.1,51.7547,29.90354817569161,496.042,0.8,0.15,0.13,30.07849759572062,0.021,0.15,45.4327,28.836015556614996,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.39204490913955,0.055,1.23,1.27,116.365,52.21153761773872,0.1,0.06,0.6,0.01,0.0055,833.858,52.21181688361476,443866.0,1528.62,52.21029821604309,0.2,0.17,343.096,51.46832713739254,0.3,53.1328,46.97931506181436,0.1,0.71,89.8023,0.7898925003859971,0.7949181066302673,16.72,5.143304014639183,0.13,0.034,0.13,25.0,81.4797,0.08097660338662352,0.08609547624050014,1.9,0.061642842023691545,0.07713296132169152,24.7,0.01896709582994797,0.00283828,0.01902703876886041,20.23481500018243,2.25932,6.590167514878515,3.2076,-0.4584432013305104,432.9,133.333,59.0,0.048
0.9,24.0,6.664744612061108,2.731210304330363,4.227602723675871,0.48688543626762526,5.384126401977557,0.12451026012693985,3.1694192035978404,0.00025261378453821765,0.04088903856637302,9.36759460830351,1.9758758577609468,1.5700790548342622,0.38404508740479343,5.6,5.203609661223629,1.4611757962630867,1.2837393775084887,19.271457365577096,16.45672553603185,4.373257800129375,1.6875393549680957,0.35568684613409834,0.6243131538659016,0.832092258621067,0.8357432883733922,1.7,1.2,7.2,1014.96,1.0,48.94215481913361,0.37,0.0,0.1,51.7547,31.38061457715048,496.042,0.8,0.15,0.13,31.54351767327416,0.021,0.15,45.4327,29.264256775354,0.081,0.3,2.0,4.0,10.0,11039.1,2207.82,23.31405504645737,0.055,1.23,1.27,116.365,52.55021716273821,0.1,0.06,0.6,0.01,0.0055,833.858,52.54798253971761,443866.0,1528.62,52.54822564696772,0.2,0.17,343.096,51.48400930843446,0.3,53.1328,47.17329940431475,0.1,0.71,89.8023,0.7899228257295289,0.7976663761016355,16.72,5.29652305373944,0.13,0.034,0.13,25.0,81.4797,0.0810018890384686,0.08648923806451576,1.9,0.061619490120407454,0.07428270412268764,24.7,0.018959933566282765,0.00283828,0.019026736261265796,18.872592848541824,2.25932,6.337819401354013,3.2076,-0.19008727387796398,432.9,133.333,59.0,0.048
