data_set_value_component_environment_variable_time,data_set_value_component_Y_variable_Y,data_set_value_component_X_variable_X,data_set_value_component_P_variable_P,data_set_value_component_Z_variable_Z,data_set_value_component_IL6_variable_IL6,data_set_value_component_model_parameters_variable_C,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_k3,data_set_value_component_model_parameters_variable_k4,data_set_value_component_model_parameters_variable_k5,data_set_value_component_model_parameters_variable_k6,data_set_value_component_model_parameters_variable_ky,data_set_value_component_model_parameters_variable_K,data_set_value_component_model_parameters_variable_K2,data_set_value_component_model_parameters_variable_C1,data_set_value_component_model_parameters_variable_C2,data_set_value_component_model_parameters_variable_C3
0.0,10.0,500.0,10.0,200.0,1.9,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.1,12.833801554141646,497.9985327091125,10.095632014569293,199.89900775660718,3.852147763360023,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.2,15.558529466953246,496.12308602737306,10.183033096781807,199.8394771662198,4.558110961931435,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.30000000000000004,18.178899636749737,494.367466967417,10.262911671449164,199.7906676537484,4.80641145434389,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.4,20.69930637171516,492.7259316648868,10.335915191872799,199.7452451571937,4.887081537744738,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.5,23.123861967298705,491.1931317262888,10.4026353858101,199.70086739599722,4.906783757860966,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.6000000000000001,25.456429875149176,489.76406891376416,10.463613051739191,199.65672407482586,4.904727556774572,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.7000000000000001,27.700652593750057,488.4340567263082,10.519342442228831,199.61253423147195,4.895304579705127,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.8,29.85997521583527,487.1986876858389,10.570275270039204,199.56820734448934,4.883780640998706,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
0.9,31.937665389625906,486.053805360421,10.616824369767977,199.52372217138674,4.87206775220198,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
1.0,33.936830294772875,484.9954803548815,10.659367043543984,199.47908261492208,4.860842241241603,50.0,1.0,1.3,0.05,0.9,5.0,0.02,0.01,5.0,2.0,1.0,1.0,1.0
