data_set_value_component_environment_variable_time,data_set_value_component_T_variable_T,data_set_value_component_I_variable_I,data_set_value_component_I_variable_I_0,data_set_value_component_VI_variable_VI,data_set_value_component_VI_variable_VI_0,data_set_value_component_VNI_variable_VNI,data_set_value_component_virus_total_variable_V,data_set_value_component_E1_variable_E1,data_set_value_component_E2_variable_E2,data_set_value_component_E3_variable_E3,data_set_value_component_E4_variable_E4,data_set_value_component_Heavyside_function_variable_h,data_set_value_component_Heavyside_function_variable_tau_p,data_set_value_component_kinetic_parameters_variable_c,data_set_value_component_kinetic_parameters_variable_delta,data_set_value_component_kinetic_parameters_variable_p,data_set_value_component_kinetic_parameters_variable_b_,data_set_value_component_kinetic_parameters_variable_k_,data_set_value_component_kinetic_parameters_variable_k,data_set_value_component_kinetic_parameters_variable_b,data_set_value_component_kinetic_parameters_variable_m,data_set_value_component_kinetic_parameters_variable_n
0.0,80.74935400516796,0.1,775.1937984496124,200000.0,200000.0,0.0,200000.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.1,80.74935400516796,0.10110052498320261,775.1937984496124,148163.64413697278,200000.0,6.591701881399609,148170.2358388542,56511.74655760912,11139.905786247347,1476.4176613514016,147.2571534005299,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.2,80.74935400516796,0.2291085246104706,775.1937984496124,109762.32722911259,200000.0,14.621005321261999,109776.94823443385,79708.0259268901,30887.565047129086,8116.438874261954,1610.6331110154304,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.30000000000000004,80.74935400516796,0.8509508205131825,775.1937984496124,81313.93200383382,200000.0,43.90432852823192,81357.83633236206,84390.78789200248,48201.541485437694,18831.171482321948,5575.504529174219,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.4,80.74935400516796,2.430254134135958,775.1937984496124,60238.84250979041,200000.0,138.3618759490336,60377.204385739446,79488.25686427059,59468.745731465024,30697.72161792138,12052.745976556394,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.5,80.74935400516796,5.314388789627827,775.1937984496124,44626.032566369315,200000.0,358.4027107692057,44984.435277138524,70250.32256944248,64523.48806860858,41250.20324126311,20132.578628653246,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.6000000000000001,80.74935400516796,9.623351960293062,775.1937984496124,33059.778330927984,200000.0,764.3123516891569,33824.09068261714,59652.60547275287,64558.10659171802,49061.397069590625,28571.06522148023,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.7000000000000001,80.74935400516796,15.243897610024689,775.1937984496124,24491.2863719121,200000.0,1400.3968608567964,25891.683232768897,49287.698362728275,61091.250577301485,53645.49411778965,36236.51637783842,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.8,80.74935400516796,21.88627239156289,775.1937984496124,18143.591672400813,200000.0,2285.2989917734612,20428.890664174272,39925.73390968347,55509.124850416454,55162.98118765083,42333.09415765879,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
0.9,80.74935400516796,29.16250448817901,775.1937984496124,13441.104424180388,200000.0,3409.565729751438,16850.670153931827,31862.89409666132,48903.52551709247,54129.29548568419,46450.56736351399,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
1.0,80.74935400516796,36.65958768491094,775.1937984496124,9957.415824969217,200000.0,4739.007608349898,14696.423433319116,25134.88682680725,42053.04486393003,51194.46676143408,48513.126229679,1.0,0.0,3.0,0.5,774.0,0.24937655860349128,2.3761492532681745e-05,2.4e-05,0.25,0.01,4.0
