Time,M,MpY,MpT,Mpp,MEK,MKP3,Km1,kcat1,Km2,kcat2,Km3,kcat3,Km4,kcat4,Km5,kcat5,Km6,kcat6,Km7,kcat7,Km8,cell,v1,v2,v3,v4,v5,v6,v7
0.0,800.0,0.0,0.0,0.0,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.831345826235093,0.0,1.3410562180579215,0.0,0.0,0.0,0.0
0.01,799.8982865401755,0.08830400950498019,0.013408705045419071,7.452742781711307e-07,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.830856546872628,6.476593457767326e-05,1.340981920080658,8.429586301860163e-05,1.354992568390014e-08,0.00021282848734272716,0.0013356400629312528
0.02,799.7965941983157,0.17658912427446044,0.026813696591693924,2.980818316517476e-06,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.830367302422491,0.000129527302443072,1.3409076274048968,0.00016858047348946244,5.419257173691728e-08,0.0004255818379858075,0.002670892699501523
0.03,799.6949229694001,0.26485534857109566,0.04021497582556076,6.706203433831875e-06,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.829878092889457,0.00019428410292372447,1.3408333400313617,0.0002528538327868551,1.2191705319719753e-07,0.000638260084394746,0.004005758050122802
0.04,799.5932728483791,0.35310268668251543,0.05361254393992117,1.1920998614013077e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.829388918278141,0.0002590363353666114,1.340759057960755,0.00033711594232639934,2.1671244559925528e-07,0.000850863259122502,0.005340236255533193
0.05,799.4916438302208,0.4413311428815363,0.06700640212350151,1.8624774312000284e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.828899778593248,0.0003237839991089788,1.3406847811937892,0.0004213668035000446,3.385678541656728e-07,0.0010633913946453788,0.0066743274561951995
0.06,799.3900359099034,0.529540721432382,0.08039655156256885,2.6817101826305015e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.828410673839507,0.0003885270934828953,1.3406105097311845,0.0005056064176868495,4.874724023940891e-07,0.0012758445233902783,0.008008031792389889
0.07,799.2884490824148,0.6177314265912557,0.09378299344098319,3.649755320747076e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.8279216040217,0.0004532656178156695,1.3405362435736656,0.0005898347862533027,6.634152303883452e-07,0.0014882226777355482,0.009341349404225636
0.08,799.1868833427325,0.7059032626229247,0.10716572894515103,4.766569969552454e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.827432569144538,0.0005179995714420216,1.3404619827219484,0.0006740519105844805,8.663854664525403e-07,0.001700525890089587,0.010674280431888887
0.09,799.0853386858536,0.7940562337763603,0.12054475925641847,6.032111391339428e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.82694356921282,0.0005827289536862001,1.3403877271767617,0.0007582577920361913,1.0963722669584986e-06,0.0019127541927701638,0.01200682501527595
0.1,798.9838151067645,0.8821903443091346,0.1339200855588972,7.44633677341429e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.826454604231285,0.0006474537638798922,1.340313476938825,0.0008424524319842076,1.3533647775761586e-06,0.0021249076181285922,0.013338983294361843
0.11,798.8823126004402,0.9703055984881319,0.14729170903969313,9.009203221900531e-05,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.825965674204616,0.0007121740013627517,1.3402392320088492,0.0009266358318257147,1.6373521321480152e-06,0.0023369861985533496,0.014670755409210989
0.12,798.7808311618613,1.0584020005756232,0.16065963088442872,0.00010720667883143279,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.825476779137503,0.0007768896654721726,1.3401649923875465,0.0010108079929511365,1.9483234747533908e-06,0.0025489899663990474,0.016002141499766805
0.13,798.6793707860086,1.1464795548338793,0.1740238522787264,0.00012580687903487658,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.824987919034637,0.0008416007555466786,1.3400907580756303,0.001094968916753471,2.286267952395624e-06,0.0027609189540099724,0.017333141705921422
0.14,798.5779314679821,1.2345382654287236,0.18738437437679328,0.0001458922125818803,180.0,100.0,410.0,1.08,40.0,0.007,20.0,0.008,300.0,0.45,22.0,0.084,18.0,0.06,34.0,0.108,40.0,1.0,8.824499093901244,0.0009063072708550363,1.3400165290738921,0.001179118604430503,2.6511748656308302e-06,0.002972773193221873,0.01866375616605873
