AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2032401700772576e-07,0.0013946325077039794,8.99668860933359,0.0005122311859712147,0.001402157264840228,1.1090166887034602e-07,9.398570785897047e-08,2.898100398363774e-07,0.0013970021935148023,1.108830819397851e-07,1.8116384890922036e-07,2.208082913334363e-11,1.4810040589642432e-06,2.0337955130982504e-07,0.01
5.185536597028579e-07,0.0027885303922591588,8.99337843703441,0.0010229274859721131,0.002800634733108894,4.4360276598480894e-07,3.756138170976499e-07,1.1580752593035958e-06,0.0027980005697451214,4.434542622032096e-07,7.239293748766539e-07,1.767588711954736e-10,5.881463000504089e-06,8.123938705638695e-07,0.02
1.2496982350503397e-06,0.004181694193178474,8.99006948265453,0.001532093003618812,0.004195440897241961,9.98097510904681e-07,8.44391834587659e-07,2.6030522831202545e-06,0.004202982847544279,9.975968398132351e-07,1.6272100249525375e-06,5.970602309049488e-10,1.313844075773864e-05,1.8253605586940889e-06,0.03
2.3675673994516456e-06,0.005574124448022923,8.98676174574583,0.0020397318319705666,0.005586584231142629,1.7743796801135624e-06,1.4998283711630163e-06,4.62300231488368e-06,0.005611936774578441,1.773194137657584e-06,2.8899220984864285e-06,1.4164703890954735e-09,2.319021844508202e-05,3.240602383663099e-06,0.04
3.9248048731377685e-06,0.00696582169221904,8.98345522586037,0.002545848053278826,0.00697407318947657,2.772442676324954e-06,2.341433174559245e-06,7.216191220724217e-06,0.007024850127935279,2.770129564429236e-06,4.510984799596855e-06,2.7689318525525334e-09,3.5976261228145285e-05,5.056447308500749e-06,0.05
5.97291703579733e-06,0.008356786459080076,8.980149922550362,0.003050445739085253,0.008357916207840982,3.9922795317448565e-06,3.3687171194746057e-06,1.038088948725916e-05,0.008441710713863858,3.988286613625463e-06,6.489320210976308e-06,4.788838893457821e-09,5.143718956949676e-05,7.2712284439408926e-06,0.06
8.562278507388711e-06,0.0097470192797935,8.976845835368193,0.0035535289501544528,0.00973812170264389,5.433882905238604e-06,4.581192214743807e-06,1.4115372250744962e-05,0.009862506367960103,5.427548863659535e-06,8.823853312051732e-06,7.6110403083353e-09,6.951477376172395e-05,9.883284081202721e-06,0.07
1.1742152927844555e-05,0.011136520683427383,8.973542963866407,0.004055101736495359,0.011114698071135017,7.097245083092506e-06,5.978371601612521e-06,1.841791928834921e-05,0.011287224955116913,7.0877999775668424e-06,1.1513511973547246e-05,1.1370837060158172e-08,9.015191312007377e-05,1.2890957681426227e-05,0.08
1.5560723864965297e-05,0.01252529119694846,8.970241307597718,0.004555168137437254,0.01248765369153216,8.982357982104336e-06,7.5597695459270335e-06,2.328681498370829e-05,0.012715854369327642,8.968923702367075e-06,1.4557226936027646e-05,1.6203976618537098e-08,0.00011329260495005816,1.6292597835865616e-05,0.09
2.006512611959227e-05,0.013913331345242204,8.966940866115003,0.005053732181716163,0.013856996923164227,1.1089213152880185e-05,9.324901429785941e-06,2.8720348290227055e-05,0.014148382533462801,1.107080386839918e-05,1.7953931787035224e-05,2.2246647009905644e-08,0.0001388819131092288,2.0086558223519896e-05,0.1
2.530147360371886e-05,0.015300641651130138,8.963641638971298,0.0055507978875483175,0.015222736106592239,1.3417801782642114e-05,1.1273283744477833e-05,3.47168126998603e-05,0.015584797399080976,1.3393324388740294e-05,2.1702562941641615e-05,2.9635471594527557e-08,0.0001668659400164906,2.4271197575011807e-05,0.11
3.13148546732745e-05,0.01668722263535,8.960343625719814,0.006046369262528164,0.01658487956342796,1.596811469115251e-05,1.3404434101356748e-05,4.127450628782523e-05,0.017025086946707287,1.593636925964833e-05,2.580205967030235e-05,3.850751367205905e-08,0.0001971918314922277,2.8844879722877363e-05,0.12
3.8149353376806715e-05,0.018073074816564758,8.957046825913919,0.006540450303662309,0.017943435596387444,1.874014233207145e-05,1.5717871228531178e-05,4.839173169724239e-05,0.018469239185749185,1.8699822560182096e-05,3.0251364089288617e-05,4.900027332208992e-08,0.00022980775545673298,3.38059735834928e-05,0.13
4.584807709148533e-05,0.019458198711379632,8.953751239107145,0.0070330449974411995,0.019298412489409528,2.173387479578585e-05,1.8213114963719662e-05,5.6066796107558736e-05,0.01991724215431165,2.1683568451604905e-05,3.50494211410158e-05,6.125168215747095e-08,0.0002646628741803081,3.915285312054777e-05,0.14
5.4453158214032365e-05,0.020842594834329917,8.950456864853194,0.007524157319773574,0.020649818507537162,2.4949301806737162e-05,2.088968626146906e-05,6.429801126378838e-05,0.021369083919378654,2.4887491177620123e-05,4.0195178612259596e-05,7.540010593027951e-08,0.00030170734270704093,4.4883897377731e-05,0.15
6.400580309336048e-05,0.02222626369792378,8.947163702705927,0.008013791236179783,0.021997661897245856,2.838641273106248e-05,2.3747107173448916e-05,7.308369339177614e-05,0.022824752576303994,2.8311475063053038e-05,4.568758708136783e-05,9.15843324433857e-08,0.00034089225960834895,5.099749038171571e-05,0.16
