Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20,k1f,k1r,k2f,k3f,k4f,k4r,k5f,k5r,kf6,k7f,k7r,k8f,k8r,u,u_prime,const_val_0,const_val_1,Cytoplasm,R1,R2,R3,R4,R5,R6,R7,R7a,R8
0.0,5e-08,1.3e-07,0.0,2.2e-07,0.0,1.27e-07,0.0,0.0,9e-08,0.0,0.0,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.3e-09,0.0,0.0,0.0,2.7940000000000004e-10,2.86e-11,0.0,0.0,9.900000000000001e-08
0.01,4.998834006987611e-08,1.2998672903966002e-07,1.1659930123899098e-11,2.190136215628766e-07,1.6035151606344917e-12,1.2699720758119363e-07,7.333242142011239e-15,2.784903750921305e-12,8.90180173150303e-08,1.818133176402274e-16,9.819825031563785e-10,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2972321771362933e-09,2.5536835236052217e-10,1.6035151606344918e-14,2.0362728123040557e-12,2.77584202857112e-10,2.846886428208828e-11,6.527906759728664e-14,0.0,9.74022331823057e-08
0.02,4.9978986197663254e-08,1.2997348463381705e-07,2.1013802336758787e-11,2.180407881156411e-07,5.45136166326974e-12,1.269943980442733e-07,4.790908319171699e-14,5.551753543839416e-12,8.80518391399314e-08,2.2930997249748757e-15,1.94815856696886e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2949858384477962e-09,4.5818660228131863e-10,5.45136166326974e-14,6.921965747821856e-12,2.7578923564967995e-10,2.833952102369364e-11,4.218482886538656e-13,0.0,9.583860932015398e-08
0.03,4.997146460729071e-08,1.299602622976654e-07,2.8535392709309286e-11,2.1708163099462033e-07,1.1048976218996594e-11,1.2699154590845096e-07,1.4314307862793494e-13,8.30075814280997e-12,8.710112387206074e-08,1.0190327681702977e-14,2.898865937611568e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2931538510105389e-09,6.194509590408858e-10,1.1048976218996594e-13,1.402840284598833e-11,2.7401516745478536e-10,2.8211985704065872e-11,1.2467923022999891e-12,0.0,9.43083608830481e-08
0.04,4.99654015514821e-08,1.2994705846885838e-07,3.4598448517914614e-11,2.1613619038651368e-07,1.8006574588148135e-11,1.2698863136551193e-07,3.0735133775295446e-13,1.1032126452584155e-11,8.616553643889215e-08,2.9156697818149935e-14,3.834434404410018e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2916517016625033e-09,7.477976855945986e-10,1.8006574588148134e-13,2.2860155598544325e-11,2.7226196476687405e-10,2.80862621693926e-11,2.6483092892694444e-12,0.0,9.281069919020956e-08
0.05,4.9960500671326225e-08,1.2993387030205913e-07,3.9499328673791825e-11,2.152044377653499e-07,2.6015447375950338e-11,1.2698563901148842e-07,5.49632091824481e-13,1.3746066620536497e-11,8.52447489114382e-08,6.528979931540249e-14,4.7551857987624575e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2904123771560496e-09,8.500430819352133e-10,2.601544737595034e-13,3.302488945021155e-11,2.705295171533032e-10,2.796234550503053e-11,4.6853249661246425e-12,0.0,9.13448264457714e-08
0.06,4.9956525380490124e-08,1.2992069550861496e-07,4.347461950988855e-11,2.1428629317988438e-07,3.482951445127688e-11,1.2698255685715681e-07,8.752828951094473e-13,1.6442785419365438e-11,8.433844076265013e-08,1.2507452877605166e-13,5.6614341628210865e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2893823806234328e-09,9.316015062179901e-10,3.4829514451276883e-13,4.420990233326213e-11,2.6881765699036737e-10,2.7840224247893552e-11,7.381999459974903e-12,0.0,8.990994448497209e-08
0.07,4.9953289614603e-08,1.2990753227226018e-07,4.671038539701536e-11,2.1338163481558975e-07,4.425563602860925e-11,1.2697937580601238e-07,1.2865860030841734e-12,1.912248767347225e-11,8.34462995252949e-08,2.1512031112939704e-13,6.553485354393958e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2885196394635166e-09,9.967138398881388e-10,4.425563602860925e-13,5.616979866804707e-11,2.671261704388062e-10,2.7719881611113865e-11,1.0736084097841391e-11,0.0,8.850526023174247e-08
0.08,4.995064485692744e-08,1.298943791297654e-07,4.935514307257644e-11,2.124903114639466e-07,5.414002114035287e-11,1.2697608891806528e-07,1.7837891816025435e-12,2.178537591308715e-11,8.25680206501816e-08,3.4191684009254637e-13,7.431637432978282e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2877905715498846e-09,1.0487489723839414e-09,5.414002114035287e-13,6.870920559980176e-11,2.654548116441173e-10,2.7601297078699814e-11,1.4728394198212935e-11,0.0,8.712999112995504e-08
0.09,4.994847347701776e-08,1.2988123490945737e-07,5.152652298224629e-11,2.116121491108385e-07,6.436124741285634e-11,1.269726910297599e-07,2.3656120278442294e-12,2.443165009262518e-11,8.170330762037182e-08,5.117081197264817e-13,8.29618067150844e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2871685788110198e-09,1.090363826448215e-09,6.436124741285634e-13,8.167389557986853e-11,2.638033102534147e-10,2.7484447248359935e-11,1.9327832722140864e-11,0.0,8.578336812133348e-08
0.1,4.994668090671784e-08,1.298680986588906e-07,5.3319093282167485e-11,2.1074695847482307e-07,7.482206257712591e-11,1.269691783073935e-07,3.029811847885574e-12,2.7061507356426386e-11,8.085187185660448e-08,7.303734022627318e-13,9.147397769993244e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2866322780791184e-09,1.1236836737852167e-09,7.482206257712592e-13,9.494036180986284e-11,2.621713800120214e-10,2.736930679526944e-11,2.449659592748665e-11,0.0,8.446463858227823e-08
0.11,4.9945192182326254e-08,1.2985496961251696e-07,5.480781767374905e-11,2.098945383161318e-07,8.54457590698668e-11,1.2696554804732656e-07,3.773413972519681e-12,2.967514193401829e-11,8.001343263110819e-08,1.003396766975409e-12,9.985563972124823e-09,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2861647190907093e-09,1.1503861586746286e-09,8.54457590698668e-13,1.0841120800680425e-10,2.6055872250767895e-10,2.7255848894874572e-11,3.019238046794858e-11,0.0,8.317306738820686e-08
0.12,4.994394746556429e-08,1.2984184714984302e-07,5.6052534435717167e-11,2.090546796775069e-07,9.617147833213418e-11,1.2696179841758238e-07,4.593007673317736e-12,3.2272745028513985e-11,7.91877169085408e-08,1.3358297158831037e-12,1.0810947261743303e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2857523716895741e-09,1.1718044631571276e-09,9.617147833213417e-13,1.2200917830178674e-10,2.58965031988976e-10,2.7144045764646245e-11,3.637097913934405e-11,0.0,8.1907938182601e-08
0.13,4.994289893169248e-08,1.2982873076619667e-07,5.7101068307523086e-11,2.0822716877258463e-07,1.0695094767818962e-10,1.2695792827741922e-07,5.4849403022660625e-12,3.48545047631919e-11,7.837445916532821e-08,1.7322775154169847e-12,1.162380855715634e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.28538442215571e-09,1.1889993787565493e-09,1.0695094767818961e-12,1.356730086392508e-10,2.5738999863176027e-10,2.7033869032783284e-11,4.298792297442145e-11,0.0,8.066855399582168e-08
0.14,4.994200836359259e-08,1.2981562005003627e-07,5.799163640740571e-11,2.0741178917829668e-07,1.1774595697206205e-10,1.2695393703726248e-07,6.445452660893681e-12,3.742060615326852e-11,7.757340119408283e-08,2.1969039234414317e-12,1.24244019019937e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2850522291712929e-09,1.2028149064637268e-09,1.1774595697206204e-12,1.4935421902501595e-10,2.558333110106207e-10,2.6925290017867986e-11,4.9999568514097415e-11,0.0,7.94542375193932e-08
0.15,4.994124511054543e-08,1.2980251466357395e-07,5.87548894545759e-11,2.0660832365017632e-07,1.2852621723407813e-10,1.269498245391628e-07,7.47078526404284e-12,3.997123109981373e-11,7.678429188377418e-08,2.73344447344439e-12,1.3212974671752352e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2847488622648276e-09,1.213924921646135e-09,1.2852621723407813e-12,1.6301439156020452e-10,2.5429465813724167e-10,2.6818279960218445e-11,5.736389563152645e-11,0.0,7.826433117012192e-08
0.16,4.994058459178893e-08,1.2978941432854075e-07,5.941540821106895e-11,2.058165554141151e-07,1.392677906818554e-10,1.2694559096903243e-07,8.557248392810306e-12,4.2506558401257096e-11,7.600688701159097e-08,3.345224173602008e-12,1.3989767764235414e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2844687634364326e-09,1.222867465652574e-09,1.392677906818554e-12,1.7662317494274022e-10,2.5277373090230305e-10,2.671281018631565e-11,6.504098117224514e-11,0.0,7.709819694123866e-08
0.17,4.994000717926348e-08,1.2977631881551345e-07,5.999282073651304e-11,2.0503626908107075e-07,1.4995191843183395e-10,1.269412367909e-07,9.701264085490771e-12,4.502676378179418e-11,7.524094902736982e-08,4.03518123278749e-12,1.4755015791397378e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2842074945217229e-09,1.2300704135464128e-09,1.4995191843183394e-12,1.9015679456734174e-10,2.512702230850701e-10,2.660885222500844e-11,7.299323165574647e-11,0.0,7.595521609014286e-08
0.18,4.9939497107521996e-08,1.2976322793342824e-07,6.050289247800724e-11,2.0426725153715684e-07,1.605638763430615e-10,1.269367626823293e-07,1.0899408191487114e-11,4.753201992005108e-11,7.448624684161141e-08,4.8058895592769634e-12,1.550894726882931e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2839614907132299e-09,1.235875955653066e-09,1.605638763430615e-12,2.0359659850331093e-10,2.497838323374272e-10,2.6506377920551005e-11,8.118560089785906e-11,0.0,7.48347888167646e-08
0.19,4.993904168035127e-08,1.297501415219264e-07,6.095831964873881e-11,2.0350929253739026e-07,1.7109214227586586e-10,1.2693216948735893e-07,1.2148430926905486e-11,5.002249649212145e-11,7.374255560708511e-08,5.659585222174665e-12,1.6251784807692703e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2837278811692437e-09,1.2405584505982931e-09,1.7109214227586586e-12,2.1692799939461722e-10,2.48314260827661e-10,2.6405359507753505e-11,8.958563431661604e-11,0.0,7.373633382286985e-08
0.2,4.993863064957071e-08,1.297370594453385e-07,6.13693504292948e-11,2.0276218511634946e-07,1.8152774405924788e-10,1.2692745817959947e-07,1.3445263825567027e-11,5.249836022762493e-11,7.300965648446186e-08,6.598196347470319e-12,1.6983745319190668e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2835043485545727e-09,1.2443383592214793e-09,1.8152774405924788e-12,2.3013964614866088e-10,2.4686121567207153e-10,2.630576966370656e-11,9.8163409324761e-11,0.0,7.265928779138243e-08
0.21,4.9938255787413136e-08,1.2972398158851848e-07,6.1744212586865e-11,2.02025725866514e-07,1.91863810539549e-10,1.2692262983669444e-07,1.4787025959333133e-11,5.495977495053232e-11,7.228733647796336e-08,7.623362395846068e-12,1.7705040159640788e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2832890323484485e-09,1.2473919365917753e-09,1.91863810539549e-12,2.432228535225018e-10,2.454244092263442e-10,2.6207581542714743e-11,1.068914721030693e-10,0.0,7.160310490181617e-08
0.22,4.993791053109006e-08,1.2971090785334313e-07,6.20894689099414e-11,2.0129971513562647e-07,2.0209519828930015e-10,1.2691768561891514e-07,1.61710234301426e-11,5.740690162730068e-11,7.157538825897313e-08,8.736456027571062e-12,1.841587528499928e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.283080448475355e-09,1.249859240449354e-09,2.0209519828930015e-12,2.5617112794713425e-10,2.4400355928214596e-10,2.6110768800861465e-11,1.1574472805574083e-10,0.0,7.056725631346583e-08
0.23,4.9937589583356936e-08,1.29697838154823e-07,6.241041664306333e-11,2.0058395722623506e-07,2.1221807238568931e-10,1.2691262674542111e-07,1.7594745498402698e-11,5.983989843071445e-11,7.087360994254978e-08,9.938610649913126e-12,1.9116451446800293e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.282877398996228e-09,1.2518528342403724e-09,2.122180723856893e-12,2.689796351832094e-10,2.4259838925958395e-10,2.6015305620782175e-11,1.2470031294922265e-10,0.0,6.955122961018233e-08
0.24,4.993728863038784e-08,1.296847724183184e-07,6.271136961216282e-11,1.9987826050021743e-07,2.2222961020148596e-10,1.2690745447733162e-07,1.9055857985067086e-11,6.225892080049172e-11,7.018180488920439e-08,1.1230743882967992e-11,1.9806964366912632e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2826789083215127e-09,1.25346394716653e-09,2.22229610201486e-12,2.8164482424190097e-10,2.4120862829429736e-10,2.5921166724340055e-11,1.337374507104366e-10,0.0,6.855452825074613e-08
0.25,4.9937004170436926e-08,1.2967171057782216e-07,6.299582956307834e-11,1.9918243740061192e-07,2.3212782147672818e-10,1.26902170107364e-07,2.05521948137521e-11,6.466412149804578e-11,6.949978153840035e-08,1.2613576324357466e-11,2.048760488527528e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2824841844698635e-09,1.2547662878447468e-09,2.321278214767282e-12,2.941641989806408e-10,2.398340112345092e-10,2.582832737479733e-11,1.4283730496904159e-10,0.0,6.757667103732114e-08
0.26,4.993673337684531e-08,1.29658652574586e-07,6.326662315469417e-11,1.9849630444433434e-07,2.4191140451366185e-10,1.268967749515932e-07,2.20817487425494e-11,6.70556506612251e-11,6.88273532482517e-08,1.408764900316822e-11,2.1158559102745122e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.282292588092685e-09,1.2558190890879149e-09,2.4191140451366183e-12,3.065361355930888e-10,2.384742786057113e-10,2.57367633752872e-11,1.5198283210425855e-10,0.0,6.661719159409397e-08
0.27,4.9936473970329697e-08,1.2964559835584523e-07,6.352602967030883e-11,1.9781968220430767e-07,2.5157961217388157e-10,1.26891270341829e-07,2.364266189128738e-11,6.94336558604949e-11,6.816433813423325e-08,1.565334041936085e-11,2.182000852534738e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.282103603598835e-09,1.2566699001081914e-09,2.515796121738816e-12,3.187597125706592e-10,2.371291765631161e-10,2.5646451065940615e-11,1.6115863995510638e-10,0.0,6.567563785487718e-08
0.28,4.993622411234563e-08,1.2963254787375094e-07,6.37758876543787e-11,1.971523952790607e-07,2.611321400130102e-10,1.2688565761926554e-07,2.523321664590067e-11,7.179828215286126e-11,6.751055891787238e-08,1.7310881935853143e-11,2.2472130200191753e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2819168150447244e-09,1.2573569012109036e-09,2.611321400130102e-12,3.308345687778512e-10,2.357984568313977e-10,2.5557367319437503e-11,1.7035085590605153e-10,0.0,6.475157157041811e-08
