Time,s1,s2,s3,rho_E,beta_a,delta_Es,pi_a,c_V,default,re1,re3,re5,re6,re7
0.0,580000.0,0.0,1000.0,6.2e-08,1e-06,0.6,100.0,4.2,1.0,580.0,0.03596,0.0,4200.0,0.0
0.15,579920.9376949675,75.62372847229852,1001.3968064454298,6.2e-08,1e-06,0.6,100.0,4.2,1.0,580.7309749985794,0.035955098137087985,45.374237083379114,4205.8665870708055,7562.372847229853
0.3,579798.3825581474,186.93364851663947,1988.7763068195109,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1153.0892859639184,0.03594749971860514,112.16018910998368,8352.860488641945,18693.364851663948
0.44999999999999996,579533.9949630068,425.19494202320215,4428.385928773346,6.2e-08,1e-06,0.6,100.0,4.2,1.0,2566.4001885399825,0.03593110768770642,255.11696521392128,18599.220900848053,42519.49420232022
0.6,578940.6376790372,959.4622828769587,9975.185440447764,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5775.040219859475,0.035894319536100304,575.6773697261752,41895.77884988061,95946.22828769588
0.75,577605.5951234555,2161.298605982211,22480.65720256964,6.2e-08,1e-06,0.6,100.0,4.2,1.0,12984.953382256632,0.03581154689765424,1296.7791635893266,94418.76025079249,216129.8605982211
0.8999999999999999,574610.0864184708,4857.097118348389,50594.9958790803,6.2e-08,1e-06,0.6,100.0,4.2,1.0,29072.394954420502,0.035625825357945194,2914.2582710090333,212498.98269213727,485709.7118348389
1.05,567935.9572900803,10859.409256870236,113496.51343230056,6.2e-08,1e-06,0.6,100.0,4.2,1.0,64458.75100526008,0.035212029351984975,6515.645554122141,476685.3564156624,1085940.9256870237
1.2,553298.0214813411,24003.854646125128,252742.08465205418,6.2e-08,1e-06,0.6,100.0,4.2,1.0,139841.6953830512,0.03430447733184315,14402.312787675077,1061516.7555386275,2400385.464612513
1.3499999999999999,522285.9342283048,51755.59326584172,553870.1499258846,6.2e-08,1e-06,0.6,100.0,4.2,1.0,289278.5886952118,0.03238172792215489,31053.355959505032,2326254.629688715,5175559.326584172
1.5,461253.73992144363,105939.39483901822,1173344.8680506952,6.2e-08,1e-06,0.6,100.0,4.2,1.0,541209.7086060159,0.028597731875129505,63563.63690341093,4928048.44581292,10593939.483901821
1.65,357606.353283302,196258.7981962496,2325715.7455276297,6.2e-08,1e-06,0.6,100.0,4.2,1.0,831690.7265316916,0.022171593903564723,117755.27891774976,9768006.131216045,19625879.81962496
1.7999999999999998,222223.157674905,308928.6896977922,4113165.7378608305,6.2e-08,1e-06,0.6,100.0,4.2,1.0,914040.6783076643,0.01377783577584411,185357.21381867529,17275296.09901549,30892868.969779216
1.95,102415.02742214549,396608.6161774272,6214329.863586417,6.2e-08,1e-06,0.6,100.0,4.2,1.0,636440.7633894606,0.00634973170017302,237965.1697064563,26100185.427062955,39660861.61774272
2.1,35084.638184929405,426473.53701706015,7959193.332901908,6.2e-08,1e-06,0.6,100.0,4.2,1.0,279245.41832876584,0.002175247567465623,255884.1222102361,33428611.998188015,42647353.701706015
2.25,9784.345117340468,413757.9779353511,8931948.867271418,6.2e-08,1e-06,0.6,100.0,4.2,1.0,87393.27028782181,0.000606629397275109,248254.78676121065,37514185.24253996,41375797.793535106
2.4,2494.449291739744,385050.0930987219,9191492.340827007,6.2e-08,1e-06,0.6,100.0,4.2,1.0,22927.711559607207,0.0001546558560878641,231030.0558592331,38604267.83147343,38505009.30987219
