IIA_1_task1,IIA_P_2_task1,_1_task1
9.623e-05,7.0094e-06,0.0
9.623069576203079e-05,7.009431652661862e-06,1.0
9.623129327162826e-05,7.009493083258696e-06,2.0
9.623184231608622e-05,7.009539517941614e-06,3.0
9.623234938794723e-05,7.0095699930379095e-06,4.0
9.623281909378288e-05,7.009586029216942e-06,5.0
9.623325238725881e-05,7.009591764988186e-06,6.0
9.623364846932435e-05,7.009592459704468e-06,7.0
9.623400595069432e-05,7.009593512814567e-06,8.0
9.623432343255292e-05,7.009600006595911e-06,9.0
9.62345997369894e-05,7.0096164277943316e-06,10.0
9.6234834071987e-05,7.00964662427849e-06,11.0
9.62350261297468e-05,7.009693558454525e-06,12.0
9.62351761158761e-05,7.0097594446832575e-06,13.0
9.6235284740534e-05,7.0098457846442036e-06,14.0
9.62353531689215e-05,7.009953424413518e-06,15.0
9.623538290249381e-05,7.010082694876525e-06,16.0
9.623537590234726e-05,7.010233275211413e-06,17.0
9.623533419953113e-05,7.010404638597429e-06,18.0
9.623526025117161e-05,7.010595647313066e-06,19.0
9.623515641608903e-05,7.01080517673493e-06,20.0
9.623502533690333e-05,7.011031657785278e-06,21.0
9.623486953188676e-05,7.0112735798721865e-06,22.0
9.623469161202748e-05,7.011529220103035e-06,23.0
9.623449409916062e-05,7.01179687186308e-06,24.0
9.623427936114e-05,7.012074926038601e-06,25.0
9.623404983970861e-05,7.01236158499171e-06,26.0
9.62338078150959e-05,7.01265516203288e-06,27.0
9.623355531808818e-05,7.012954193895773e-06,28.0
9.623329447913689e-05,7.013256993750561e-06,29.0
9.623302700607626e-05,7.0135623477536755e-06,30.0
9.623275468615342e-05,7.013868826992851e-06,31.0
9.6232479057053e-05,7.014175267271323e-06,32.0
9.623220150462242e-05,7.0144806182522525e-06,33.0
9.623192331128376e-05,7.014783872196839e-06,34.0
9.623164562444787e-05,7.015084175148721e-06,35.0
9.623136942977226e-05,7.015380758913972e-06,36.0
9.623109570084918e-05,7.015672899705049e-06,37.0
9.623082519085256e-05,7.0159600260035515e-06,38.0
9.623055852710432e-05,7.016241665132768e-06,39.0
9.62302963774828e-05,7.0165173344728325e-06,40.0
9.623003924681112e-05,7.016786674359235e-06,41.0
9.62297874627455e-05,7.017049457362433e-06,42.0
9.622954141728827e-05,7.017305420871822e-06,43.0
9.622930145651791e-05,7.017554344196168e-06,44.0
9.622906768687179e-05,7.017796188027596e-06,45.0
9.6228840278374e-05,7.018030869779649e-06,46.0
9.622861946179711e-05,7.018258261447337e-06,47.0
9.622840519821483e-05,7.018478451072867e-06,48.0
9.622819750003677e-05,7.018691486419176e-06,49.0
9.622799650099621e-05,7.018897311866854e-06,50.0
9.622780207700559e-05,7.019096088888217e-06,51.0
9.622761414940414e-05,7.019287939282397e-06,52.0
9.622743287020702e-05,7.019472782943899e-06,53.0
9.622725798977632e-05,7.019650886306216e-06,54.0
9.622708935448968e-05,7.0198224306945225e-06,55.0
9.622692677527932e-05,7.019987626346714e-06,56.0
9.622677027246307e-05,7.020146501634168e-06,57.0
9.622661975475104e-05,7.020299179410516e-06,58.0
9.622647493593884e-05,7.0204459487320296e-06,59.0
