Time,Pathogen_Virus,Recombinant_Virus,Normal_Th_cells,Single_Infected_Th_Cells,Double_Infected_Th_Cells,d,lamda,beta,a,alpha,b,k,u,c,q,Plasma,Production_of_Normal_cells,Degradation_of_Normal_cells,Infection_of_Normal_cells_with_Pathogen,Degradation_of_Single_Infected_Cells,Infection_of_Single_Infeced_Cells_with_Recombinant_Virus,Release_of_Pathogen,Degradation_of_Double_Infected_Cells,Release_of_Recombinant_Virus,Degradation_of_Pathogen_Virus,Degradation_of_Recombinant_Virus
0.0,149.0,1.0,3.0,6.0,0.0,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03,1.788,1.98,0.024,300.0,0.0,0.0,298.0,2.0
0.3,149.0793254838932,2.2191028100230694,3.049534649506339,5.940935820364278,0.0074194364600350836,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03049534649506339,1.8184902743526627,1.960508820720212,0.05273418949254832,297.0467910182139,0.014838872920070167,14.838872920070168,298.1586509677864,4.438205620046139
0.6,148.4188416340852,9.458232684137597,3.091920303320137,5.869179360053328,0.0324438382003308,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03091920303320137,1.8355969193747363,1.9368291888175984,0.22204825620928872,293.45896800266644,0.0648876764006616,64.8876764006616,296.8376832681704,18.916465368275194
0.9,146.7760802150074,40.28132227643117,3.1310100934960445,5.698802425157825,0.1366401470568679,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03131010093496044,1.838229554547893,1.8806048003020823,0.9182211883099595,284.94012125789124,0.2732802941137358,273.28029411373575,293.5521604300148,80.56264455286234
1.2,141.94587004403053,164.03098487233314,3.1738773101809863,5.129505466191517,0.535039850087325,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.031738773101809864,1.8020751048265897,1.692736803843201,3.3655913341096437,256.47527330957587,1.07007970017465,1070.07970017465,283.89174008806106,328.06196974466627
1.5,126.934949865853,574.2956431952194,3.242450266748427,3.5037649441099887,1.6333713855668668,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03242450266748427,1.6463210482089332,1.1562424315562962,8.048787768730032,175.18824720549944,3.2667427711337336,3266.7427711337336,253.869899731706,1148.5912863904389
1.8,94.62324594348601,1369.4922808043445,3.388458133603634,1.237972377447774,2.74480656224939,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03388458133603634,1.282507629380729,0.40853088455776543,6.781574459054916,61.8986188723887,5.48961312449878,5489.613124498779,189.24649188697202,2738.984561608689
2.1,58.514748247143814,1944.5613579501044,3.658756055869597,0.26094097575810443,2.379970439876692,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.03658756055869597,0.8563647580276893,0.08611052200017447,2.0296629526600194,13.047048787905222,4.759940879753384,4759.940879753384,117.02949649428763,3889.1227159002087
2.4,33.737600636182435,1933.854810914048,4.040306398482984,0.09239643846920187,1.5633430581887457,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.04040306398482984,0.545240974879326,0.03049082469483662,0.7147251881799593,4.619821923460093,3.1266861163774915,3126.6861163774915,67.47520127236487,3867.709621828096
2.7,19.3191685965132,1610.5151343102293,4.495921220614756,0.059845625493126935,0.9724402364316262,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.04495921220614756,0.34742984023079154,0.019749056412731888,0.385529142315772,2.9922812746563467,1.9448804728632525,1944.8804728632524,38.6383371930264,3221.0302686204586
3.0,11.195847981878106,1223.717396356465,4.997458399700919,0.04799499267784267,0.6003163650529377,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.04997458399700919,0.22380313815524533,0.015838347583688083,0.23492922991150897,2.3997496338921334,1.2006327301058755,1200.6327301058755,22.391695963756213,2447.43479271293
3.3,6.6449128050845285,881.3981498455249,5.526987551117709,0.041942156412016006,0.37084585969542705,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.05526987551117709,0.14690540140785938,0.013840911615965283,0.1478709562483301,2.0971078206008005,0.7416917193908541,741.6917193908541,13.289825610169057,1762.7962996910499
3.6,4.097305118932358,613.52117272967,6.073204562055251,0.0386045588556968,0.22981984965484373,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.06073204562055251,0.09953508856172931,0.012739504422379946,0.09473885688743468,1.9302279427848401,0.45963969930968746,459.63969930968744,8.194610237864715,1227.04234545934
3.9,2.672684719292532,417.3359701868952,6.628960492342049,0.03698262584697395,0.14312038009809736,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.0662896049234205,0.07086848565070598,0.012204266529501403,0.06173672015162328,1.8491312923486973,0.2862407601961947,286.2407601961947,5.345369438585064,834.6719403737904
