H_c_1_task1,L_c_2_task1,_1_task1
0.0,0.0,0.0
9.813281285470207e-08,0.0003686885427506574,0.02
3.892072163295135e-07,0.0007293949186981002,0.04
8.683202688539877e-07,0.0010822919553833132,0.06
1.530677836821419e-06,0.001427548552665802,0.08
2.3715921321398648e-06,0.0017653297876173359,0.1
3.386479311856266e-06,0.0020957970155096616,0.12
4.570857162986756e-06,0.0024191079654211473,0.14
5.920342808768597e-06,0.002735416834844508,0.16
7.430650502907355e-06,0.003044874378793846,0.18
9.097589455232208e-06,0.003347627997386292,0.2
1.0917061730668338e-05,0.0036438218190311396,0.22
1.288506018987686e-05,0.003933596781438116,0.24
1.4997666479485847e-05,0.004217090710056929,0.26
1.7251049073018145e-05,0.004494438393703215,0.28
1.9641461356908962e-05,0.004765771657942294,0.3
2.216523976224436e-05,0.005031219436134018,0.32
2.4818801950973844e-05,0.005290907837400956,0.34
2.7598645014693796e-05,0.005544960215108068,0.36
3.050134375409228e-05,0.005793497230018647,0.38
3.3523548970342625e-05,0.00603663691391363,0.4
3.6661985802411985e-05,0.006274494730880597,0.42
3.9913452118494744e-05,0.006507183635547458,0.44
4.327481691061846e-05,0.006734814132322241,0.46
4.6743018767616926e-05,0.006957494329815782,0.48
5.031506434322118e-05,0.007175329996739233,0.5
5.398802688653864e-05,0.00738842461427303,0.52
5.775904479486481e-05,0.007596879427775906,0.54
6.162532019157857e-05,0.007800793497674889,0.56
6.558411755803027e-05,0.008000263747539548,0.58
6.963276236506095e-05,0.008195385012949155,0.6
7.376863976651303e-05,0.00838625008709491,0.62
7.798919329410567e-05,0.00857294976695341,0.64
8.229192360185949e-05,0.008755572897065642,0.66
8.667438724095032e-05,0.008934206412071525,0.68
9.11341954198751e-05,0.009108935380665966,0.7
9.566901284663059e-05,0.009279843045294254,0.72
0.00010027655657544079,0.009447010862093286,0.74
0.00010495459485124156,0.009610518541375356,0.76
0.00010970094603015036,0.009770444084432709,0.78
0.00011451347748978196,0.009926863821257612,0.8
0.00011939010455333013,0.010079852447891455,0.82
0.00012432878948166873,0.01022948306061568,0.84
0.00012932754044395,0.010375827191560306,0.86
0.0001343844105217727,0.010518954842931423,0.88
0.000139497496759683,0.010658934519232064,0.9
0.0001446649391969218,0.01079583326060939,0.92
0.00014988491994594408,0.010929716674260978,0.94
0.00015515566228997576,0.011060648965124454,0.96
0.00016047542980097886,0.011188692966116198,0.98
0.00016584252543278816,0.011313910168973472,1.0
0.00017125529072344926,0.011436360751287362,1.02
0.00017671210492168284,0.011556103606442311,1.04
0.0001822113842027504,0.011673196369957457,1.06
0.00018775158085574542,0.011787695447098866,1.08
0.00019333118254870148,0.011899656038101126,1.1
0.00019894871151294815,0.012009132165792913,1.12
0.00020460272369444068,0.012116176704213643,1.14
0.00021029180808743687,0.01222084140125747,1.16
0.0002160145864139205,0.01232317688924763,1.18
0.00022176971184665367,0.012423232728588635,1.2
0.00022755586837136348,0.012521057429312442,1.22
0.00023337177056699838,0.01261669845811772,1.24
0.00023921616280001684,0.012710202265728138,1.26
0.0002450878181897194,0.012801614322191021,1.28
0.0002509855382001372,0.012890979130492307,1.3
0.0002569081525001924,0.012978340231023705,1.32
0.0002628545177044604,0.0130637402444692,1.34
0.00026882351462005063,0.01314722096473266,1.36
0.00027481405887837956,0.013228822999658187,1.38
0.0002808250797713311,0.013308586485815383,1.4
0.00028685553798640703,0.013386550489707572,1.42
0.0002929044176205706,0.013462753277339827,1.44
0.00029897072629283985,0.013537232310203755,1.46
0.00030505349496057736,0.0136100242518288,1.48
0.000311151777971035,0.013681164965944098,1.5
0.0003172646529478492,0.013750689520278402,1.52
0.0003233912157076859,0.013818632357668286,1.54
0.000329530584279964,0.013885027160752295,1.56
0.00033568190079643945,0.013949906788366617,1.58
0.0003418443298375998,0.014013303331206255,1.6
0.0003480170538118534,0.014075248267608993,1.62
0.0003541992666690628,0.014135772675494544,1.64
0.0003603901887601675,0.014194906731393824,1.66
0.00036658906120509786,0.014252679900326583,1.68
0.0003727951447239941,0.014309120975197678,1.7
0.00037900770882856767,0.014364258441101124,1.72
0.0003852260439293935,0.014418120067245058,1.74
0.0003914494611724953,0.014470732912459582,1.76
0.00039767729028556233,0.014522123397789827,1.78
0.00040390877126317265,0.01457232102692436,1.8
0.0004101435382716053,0.014621341745405893,1.82
0.0004163807355757587,0.014669218348424757,1.84
0.00042261978873377225,0.014715973958283434,1.86
0.0004288601240800568,0.014761631669293871,1.88
0.0004351011724766669,0.014806214412511752,1.9
0.0004413423628759094,0.01484974518785381,1.92
0.0004475831237128484,0.014892247013887333,1.94
0.0004538229248030171,0.014933741479282954,1.96
0.00046006126321042784,0.014974249231143684,1.98
0.000466297607213369,0.015013791911259443,2.0
0.0004725314345367972,0.015052390834663686,2.02
0.0004787622958149506,0.015090064794487257,2.04
0.00048498971572425505,0.015126833481731244,2.06
0.0004912132084390072,0.015162716950661147,2.08
0.0004974323490538354,0.015197733143839686,2.1
0.0005036466623431604,0.015231901748096572,2.12
0.0005098557637464465,0.015265239307507356,2.14
0.000516059201132723,0.015297764707741694,2.16
0.0005222565811101892,0.01532949479199693,2.18
0.0005284475085574762,0.015360446465292383,2.2
0.0005346315953694443,0.015390636390118149,2.22
0.0005408084693396585,0.015420080677327589,2.24
0.0005469777741603882,0.015448794886137337,2.26
0.0005531391694226077,0.015476794024127287,2.28
0.0005592923021242632,0.015504093525054422,2.3
0.0005654368131486167,0.01553070902652119,2.32
0.0005715723793764191,0.015556654924718827,2.34
0.0005776986897762117,0.015581945194989415,2.36
0.0005838154453701031,0.015606593393000393,2.38
0.000589922359233769,0.015630612654744545,2.4
0.0005960191491217081,0.015654015949429476,2.42
0.0006021055032156723,0.015676817254007852,2.44
0.000608181139469373,0.015699029518171297,2.46
0.0006142457893695729,0.01572066522120337,2.48
0.0006202991929354268,0.01574173654345861,2.5
0.0006263410987184811,0.01576225536636253,2.52
0.0006323712637380366,0.015782233274596616,2.54
0.0006383894437028146,0.01580168188664424,2.56
0.0006443954003835864,0.015820612605566935,2.58
0.0006503889081249325,0.015839036398881515,2.6
0.0006563697487655406,0.015856963970273866,2.62
0.0006623377116382051,0.015874405759598927,2.64
0.0006682925935698271,0.015891371942880716,2.66
0.0006742342040262321,0.015907872258349352,2.68
0.0006801623177961798,0.01592391760634811,2.7
0.0006860767623674614,0.015939517094864238,2.72
0.0006919773542288824,0.01595468019336549,2.74
0.0006978639169385157,0.015969416121853878,2.76
0.0007037362809639539,0.01598373385626727,2.78
0.0007095942831329646,0.015997642147073866,2.8
0.0007154377554806703,0.016011149896931254,2.82
0.0007212665383735039,0.016024265716263107,2.84
0.0007270804817437691,0.016036997881445417,2.86
0.0007328794407418233,0.01604935448202831,2.88
0.0007386632755276125,0.016061343427787374,2.9
0.0007444318510622046,0.016072972455775,2.92
0.0007501850368993234,0.01608424913737169,2.94
0.0007559227069768844,0.016095180885337398,2.96
0.0007616447394085263,0.01610577496086285,2.98
0.0007673510162751471,0.016116038480620883,3.0
0.0007730414237640215,0.016125978412312704,3.02
0.0007787158537954908,0.01613560152097539,3.04
0.0007843742005100949,0.016144914485409244,3.06
0.0007900163610045325,0.0161539238739685,3.08
0.0007956422354642276,0.016162636140324486,3.1
0.0008012517269636723,0.016171057630225354,3.12
0.0008068447412667722,0.016179194588255782,3.14
0.0008124211866271905,0.016187053164596652,3.16
0.0008179809735886929,0.01619463942178477,3.18
0.0008235240147854916,0.016201959341472585,3.2
0.00082905022474259,0.016209018831187864,3.22
0.0008345595296495738,0.016215823394485226,3.24
0.000840051877081295,0.016222377802890015,3.26
0.0008455272000108224,0.01622868731049828,3.28
0.0008509854334383617,0.0162347570927646,3.3
0.0008564265152004948,0.01624059221921122,3.32
0.0008618503858736018,0.016246197656708795,3.34
0.000867256988677285,0.016251578272757142,3.36
0.0008726462693777917,0.01625673883876598,3.38
0.0008780181761914383,0.016261684033335687,3.4
0.0008833726596880334,0.016266418445538024,3.42
0.0008887096726963559,0.01627094657812771,3.44
0.0008940291740427143,0.01627527272170953,3.46
0.0008993311259622338,0.0162794010419193,3.48
0.0009046154902484465,0.01628333570908114,3.5
0.0009098822309482167,0.01628708080750955,3.52
0.0009151313142862796,0.01629064033807927,3.54
0.0009203627085897808,0.01629401822079514,3.56
0.0009255763842128154,0.016297218297361932,3.58
0.0009307723134609681,0.016300244333754266,3.6
0.0009359504705158513,0.016303100022786385,3.62
0.0009411108313596455,0.016305788986682085,3.64
0.0009462533738875042,0.016308314773330782,3.66
0.000951378081003337,0.016310680752279084,3.68
0.0009564849362637177,0.016312890261162952,3.7
0.0009615739239782067,0.01631494660236984,3.72
0.0009666450301334911,0.016316853012014274,3.74
0.0009716982423317275,0.016318612662043805,3.76
0.0009767335497288846,0.016320228662344984,3.78
0.0009817509429730841,0.016321704062849305,3.8
0.000986750414142946,0.01632304185563919,3.82
0.0009917319566859284,0.016324244977053953,3.84
0.000996695565356671,0.016325316309795744,3.86
0.0010016411971724196,0.016326260024874573,3.88
0.0010065689504031169,0.016327075434914958,3.9
0.0010114787643602816,0.016327767302891684,3.92
0.0010163706425706913,0.01632833817682763,3.94
0.0010212445895322812,0.016328790562818964,3.96
0.0010261006107141434,0.016329126925035138,3.98
0.0010309387125565278,0.01632934968571889,4.0
0.001035758902470842,0.016329461225186255,4.02
0.0010405611888396516,0.01632946388182654,4.04
0.001045345581016678,0.016329359952102357,4.06
0.0010501120893268022,0.01632915169054959,4.08
0.0010548607255247647,0.016328841294184316,4.1
0.0010595915035038592,0.016328430878411664,4.12
0.0010643044381453352,0.016327922516139744,4.14
0.0010689995445369983,0.016327318264795252,4.16
0.0010736768379139142,0.016326620168368233,4.18
0.001078336334791116,0.016325830218452866,4.2
0.001082978053240529,0.01632495034456363,4.22
0.0010876020124667646,0.01632398242881626,4.24
0.001092208232545868,0.016322928314978884,4.26
0.0010967967341436295,0.016321789818290015,4.28
0.0011013675389190173,0.016320568711430426,4.3
0.0011059206688122847,0.0163192667551133,4.32
0.00111045614890559,0.01631788557009429,4.34
0.0011149740016490532,0.0163164268938593,4.36
0.0011194742533381776,0.016314892291124886,4.38
0.0011239569307731,0.016313283302396703,4.4
0.0011284220600157127,0.016311601503599327,4.42
0.0011328696671264345,0.01630984847072809,4.44
0.0011372997781656832,0.016308025779778322,4.46
0.0011417124198860795,0.016306134974537683,4.48
0.001146107626104709,0.0163041772700896,4.5
0.0011504854275330321,0.016302154026019942,4.52
0.0011548458533708677,0.01630006667225007,4.54
0.0011591889328180355,0.016297916638701317,4.56
0.0011635146950743553,0.016295705355295047,4.58
0.0011678231728159366,0.0162934340856358,4.6
0.0011721144037630774,0.016291103851998175,4.62
0.00117638842062941,0.016288715916191528,4.64
0.0011806452559826905,0.016286271547004422,4.66
0.0011848849423906744,0.01628377201322542,4.68
0.0011891083973965017,0.016281246737740486,4.7
0.0011933134790455574,0.01627862723792355,4.72
0.001197501673513033,0.016275960666761638,4.74
0.0012016729807989286,0.016273247024254756,4.76
0.001205827400903244,0.01627048631040291,4.78
0.0012099649338259792,0.016267678525206084,4.8
0.0012140855971911732,0.01626482402221969,4.82
0.0012181894444126796,0.016261923872977774,4.84
0.0012222764791512551,0.016258978150918656,4.86
0.0012263467016232078,0.016255986861176644,4.88
0.001230400190183572,0.016252951863582582,4.9
0.0012344370081658752,0.016249874661417668,4.92
0.0012384571555701177,0.016246755254681906,4.94
0.0012424604239667225,0.01624358919768482,4.96
0.0012464475145221158,0.016240391445928176,4.98
0.001250417991801601,0.016237152711824715,5.0
0.0012543718960595614,0.01623387385397872,5.02
0.0012583092810469485,0.016230555911889693,5.04
0.001262230221029233,0.016227200200014343,5.06
0.0012661347671846773,0.01622380772337028,5.08
0.0012700229698309562,0.016220379475440635,5.1
0.0012738948792857454,0.016216916449708525,5.12
0.0012777505458667195,0.016213419639657084,5.14
0.0012815900198915543,0.016209890038769433,5.16
0.0012854133516779244,0.016206328640528695,5.18
0.0012892205826271954,0.01620273603629762,5.2
0.001293011738451097,0.01619911210984557,5.22
0.0012967868614862884,0.01619545749471647,5.24
0.0013005459948664312,0.016191772860398662,5.26
0.0013042891817251882,0.01618805887638048,5.28
0.001308016465196221,0.01618431621215026,5.3
0.0013117278884131923,0.016180545537196327,5.32
0.0013154234945097643,0.016176747521007024,5.34
0.0013191033282727578,0.01617292270890945,5.36
0.0013227674378351992,0.016169071394912405,5.38
0.001326415867975846,0.016165194124948597,5.4
0.001330048663271942,0.0161612914600855,5.42
0.0013336658683007314,0.016157363961390597,5.44
0.0013372675276394576,0.016153412189931368,5.46
0.0013408536858653642,0.016149436706775305,5.48
0.0013444243875556955,0.016145438072989876,5.5
0.0013479796889010547,0.016141415520199792,5.52
0.001351519610500922,0.016137372354334135,5.54
0.0013550442152657721,0.016133307037758313,5.56
0.0013585535479721683,0.016129220108722694,5.58
0.0013620476534871048,0.016125112095125477,5.6
0.0013655265767680076,0.0161209835145127,5.62
0.0013689903628627336,0.016116834874078226,5.64
0.0013724390569095724,0.016112666670663744,5.66
0.0013758727044318943,0.01610847934178648,5.68
0.0013792913518326786,0.016104273183447166,5.7
0.0013826950449270313,0.016100048594031368,5.72
0.0013860838295840848,0.01609580596762307,5.74
0.0013894577517898651,0.016091545683556075,5.76
0.0013928168576472911,0.016087268106414022,5.78
0.0013961611933761744,0.01608297358603038,5.8
0.0013994908053132193,0.01607866245748845,5.82
0.0014028057399120234,0.01607433504112136,5.84
0.001406106043743077,0.016069991642512063,5.86
0.001409391763493763,0.016065632552493353,5.88
0.0014126629459683578,0.016061258047147853,5.9
0.0014159196365006645,0.016056868493050283,5.92
0.0014191618792294268,0.01605246432900764,5.94
0.0014223897202560725,0.016048045856700836,5.96
0.0014256032057381753,0.016043613367088108,5.98
0.0014288023818715932,0.016039167141589313,6.0
0.0014319872948904677,0.01603470745208593,6.02
0.001435157991067224,0.016030234560921033,6.04
0.0014383145167125705,0.016025748720899333,6.06
0.0014414569181755007,0.01602125017528714,6.08
0.0014445852418432904,0.016016739157812387,6.1
0.0014476995341415,0.01601221589266462,6.12
0.0014507998415084873,0.016007680595962363,6.14
0.0014538862083108936,0.016003133595772493,6.16
0.0014569586791107626,0.01599857520157706,6.18
0.0014600172995651868,0.015994005652474826,6.2
0.0014630621153007676,0.01598942518198595,6.22
