Time,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,I,IIa_plus_1_2mIIa,compartment_1,R1,R1b,R2,R2b,R3,R3b,R4,R5,R6,R7,R8,R9,R9b,R10,R11,R12,R7_atn,R8_atn,R4_atn,VIIIa_IXa_degradation
0.0,9e-08,0.0,5e-09,0.0,1.7e-07,0.0,0.0,0.0,0.0,2e-08,0.0,7e-10,0.0,0.0,1.4e-06,0.0,0.0,0.0,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,0.0,0.0,1.0,4.5e-08,0.0,8.500000000000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,8.964463251329994e-08,3.5479191652041765e-10,4.039933341843658e-09,5.755702029410065e-13,1.6939082755831189e-07,6.052747646339905e-10,3.89767725490801e-12,9.429996450930587e-25,2.3543943182878126e-26,1.9999994505590795e-08,5.4944054419186976e-15,6.999999038478323e-10,9.615216692158502e-17,6.557311655780066e-40,1.3999999999999995e-06,5.962719013769406e-22,3.1778032068796902e-21,2.561015630953489e-23,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-5.61745302635995e-29,3.0732187571441867e-23,1.0,2.770082798429022e-08,1.0643757495612529e-10,4.180067556163578e-08,6.96065979329089e-10,1.5973525483007577e-23,1.9306033409960062e-25,3.4940584517167626e-14,1.5590704736545283e-12,2.72837370366549e-14,2.622923941740956e-40,9.180235057092633e-42,4.031534158667706e-19,1.90807008440621e-20,8.138403684913011e-37,5.534185072845167e-22,2.140270790738178e-18,1.0244059709560386e-23,3.585421390840476e-25,2.848730006803159e-23,0.0
0.02,8.942187031425397e-08,5.761320554388821e-10,3.5293182462277634e-09,1.997630132110181e-12,1.6909272151570482e-07,8.945494129901521e-10,1.2729068591256752e-11,4.5472154812997155e-23,2.309423963529992e-24,1.9999962351357017e-08,3.7648465983431265e-14,6.999993411484378e-10,6.588515147344319e-16,8.146864496638162e-36,1.3999999999999508e-06,4.5586627985289103e-20,1.3142334241565285e-19,4.0945933231028765e-21,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-5.58038949618189e-27,4.91351198772346e-21,1.0,1.773265452065777e-08,1.7283961663166462e-10,2.0318028563402e-08,1.0287318249386749e-09,7.68898731627351e-22,1.8937276500945934e-23,1.138257120788605e-13,5.091617851859523e-12,8.910339627313e-14,3.2587396642874076e-36,1.1405599560144625e-37,1.5208203979220516e-17,1.4587720955292513e-18,5.381251403549952e-33,1.3161189023425297e-20,4.787042124890305e-17,1.637834246123507e-21,5.732425256885612e-23,1.1752121081758304e-21,0.0
0.03,8.92767543253321e-08,7.192883688105527e-10,3.2532259967544633e-09,3.9573039026756445e-12,1.6894863461472104e-07,1.0274827116908746e-09,2.3882646082490617e-11,3.994723887315882e-22,3.0944539779699166e-23,1.9999889633078207e-08,1.1036540126944834e-13,6.999980685762024e-10,1.9314233675583137e-15,1.676369489469149e-33,1.3999999999994381e-06,4.92752681777578e-19,1.0277838474738102e-18,6.935791073390138e-20,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-7.57003654574609e-26,8.322949288068332e-20,1.0,1.178082495624992e-08,2.157865106431658e-10,9.753569710079678e-09,1.1816051184445057e-09,6.749000519708511e-21,2.5374522619353314e-22,2.13216512694537e-13,9.5530057159136e-12,1.6717806130232438e-13,6.705440954728528e-34,2.3469108096969575e-35,1.093970509218452e-16,1.5768085816882497e-17,7.1284940346834235e-31,7.643029493963084e-20,2.6317066828804e-16,2.774301119717836e-20,9.710080710842323e-22,9.175720605046396e-21,0.0
0.04,8.917878520000538e-08,8.149442219872672e-10,3.1008211984959226e-09,6.2705751628196505e-12,1.6887969581028693e-07,1.0842301207093783e-09,3.6074022757077876e-11,1.7659053780142374e-21,1.8486153922671633e-22,1.99997699360015e-08,2.300573937729001e-13,6.999959738684307e-10,4.026129618906627e-15,6.392239472770448e-32,1.3999999999970772e-06,2.4465851647063895e-18,4.1581555149214305e-18,4.764299253163621e-19,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-4.577806038937844e-25,5.717159103796985e-19,1.0,8.0940854327347e-09,2.444832665961801e-10,4.66044876519543e-09,1.246864638815785e-09,2.9822371445340186e-20,1.5158646216590738e-21,3.2170375267535537e-13,1.44294431161528e-11,2.525167069119266e-13,2.5568663766247295e-32,8.949083789884347e-34,4.1088081055833764e-16,7.829072527060446e-17,1.9810697214278363e-29,2.524526543791943e-19,8.282463036337938e-16,1.9056977793907236e-19,6.6699805910378124e-21,3.70819257493396e-20,0.0
0.05,8.911051485505326e-08,8.8066142835945e-10,3.014523908096493e-09,8.823713516386047e-12,1.6884650655173567e-07,1.104809549650438e-09,4.868383323924808e-11,5.393490629284694e-21,7.132134429173651e-22,1.999960050117385e-08,3.994789180729152e-13,6.999930087355356e-10,6.991258358127978e-15,9.93018929100973e-31,1.3999999999899382e-06,8.042152527761417e-18,1.186593679831999e-17,2.0195852669272478e-18,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.7878702906394273e-24,2.4235023203136904e-18,1.0,5.726703468707773e-09,2.64198428507835e-10,2.287562895258556e-09,1.2705309820980036e-09,9.106649187398137e-20,5.8483502319223935e-21,4.338241445066952e-13,1.9473144313014602e-11,3.407834290592034e-13,3.971996374424587e-31,1.390212615825459e-32,1.0982804748095602e-15,2.5734888088836534e-16,2.396427113617693e-28,6.168616412584612e-19,1.9400701282863775e-15,8.078179703320302e-19,2.827391134788728e-20,1.0573797373358166e-19,0.0
0.06,8.90616159394439e-08,9.26840233174443e-10,2.964158219396793e-09,1.1543824289539132e-11,1.6882958035129728e-07,1.1089964315316002e-09,6.14231238013106e-11,1.309512364611848e-20,2.0944099839807176e-21,1.9999380308503562e-08,6.196436123642323e-13,6.99989155314443e-10,1.084467036772075e-14,8.813313714622638e-30,1.3999999999731016e-06,2.0542666682762853e-17,2.734141778272238e-17,6.355912993444558e-18,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-5.315100627110614e-24,7.627095592142283e-18,1.0,4.155106495779677e-09,2.780520699523329e-10,1.247915840170513e-09,1.2753458962613402e-09,2.2108232857226936e-19,1.7174161868641883e-20,5.470442661793239e-13,2.456848825277415e-11,4.2995520546453867e-13,3.525216255137767e-30,1.2338448045239794e-31,2.389811821714189e-15,6.573653338484113e-16,1.7377967254440128e-27,1.2518242164111702e-18,3.7951080643808655e-15,2.5422864232731404e-18,8.8981403350667e-20,2.435070849804702e-19,0.0
0.07,8.902575644914288e-08,9.59860930226493e-10,2.9337587361634497e-09,1.4382617522238206e-11,1.6881945937687465e-07,1.1063752301425283e-09,7.416524867900874e-11,2.722010676823289e-20,5.107578372442035e-21,1.9999109131793206e-08,8.907692812248113e-13,6.99984409631652e-10,1.5590336020762708e-14,5.384810003650378e-29,1.3999999999392905e-06,4.4341412752668815e-17,5.458416757773327e-17,1.6368103676701686e-17,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.3123023552087273e-23,1.964172441209587e-17,1.0,3.0813467471874173e-09,2.8795827906794793e-10,8.470462518584134e-10,1.2723315146639075e-09,4.595232633010158e-19,4.1882142654024684e-20,6.602617365887548e-13,2.966477804236155e-11,5.19145178117606e-13,2.1538280583395134e-29,7.5385661027676475e-31,4.537884567864463e-15,1.418925208085402e-15,8.93439314018797e-27,2.2421622997641907e-18,6.5845788587349065e-15,6.546949834217253e-18,2.2914834777851407e-19,4.859396808754483e-19,0.0
0.08,8.899891034244623e-08,9.83782500465133e-10,2.9147594075183527e-09,1.7307153936651282e-11,1.6881168550085223e-07,1.1014530187229007e-09,8.686125199770785e-11,5.06102937208828e-20,1.0892234187175407e-20,1.999878707739104e-08,1.2127392975776908e-12,6.999787735296213e-10,2.1226408876497572e-14,2.517560926709653e-28,1.3999999998785432e-06,8.493500394489747e-17,9.837639086427659e-17,3.652199193160443e-17,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-2.833593748339457e-23,4.382639031817707e-17,1.0,2.330261106789565e-09,2.951347501395399e-10,7.406120174562259e-10,1.2666709715313358e-09,8.543500064373553e-19,8.931632033483832e-20,7.73055677877663e-13,3.474239367955533e-11,6.080103264060292e-13,1.0069632985525123e-28,3.5244784195286396e-30,7.827244443661052e-15,2.717920126236719e-15,3.5929017534054735e-26,3.673434208009842e-18,1.0494654817096191e-14,1.460791080564701e-17,5.112923823828639e-19,8.755391590343199e-19,0.0
0.09,8.897842477909387e-08,1.0012808205786997e-09,2.9024624507443934e-09,2.029439712936126e-11,1.6880425024360214e-07,1.0962516601097428e-09,9.949773804161943e-11,8.655487195255081e-20,2.0996020594740494e-20,1.999841436563809e-08,1.585321199281218e-12,6.999722508420428e-10,2.7749050406705326e-14,9.60041492707111e-28,1.399999999777889e-06,1.488958134050661e-16,1.6426682548229312e-16,7.321518094762019e-17,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-5.530743576072013e-23,8.785821713810427e-17,1.0,1.7949139908816535e-09,3.003842461736099e-10,7.597267409828475e-10,1.2606894091262042e-09,1.461062030467538e-18,1.7216736887687203e-19,8.853152000026221e-13,3.9795939876000356e-11,6.96456556506843e-13,3.839861515872505e-28,1.3440048091039021e-29,1.2574648625517864e-14,4.7646660289621155e-15,1.2026825351377237e-25,5.6310697148036516e-18,1.5707880609597944e-14,2.92837505289136e-17,1.024971900074263e-18,1.4616203374876759e-18,0.0
