Time,s21,s22,s25,s26,s27,s28,s29,s30,s31,s33,s34,s23,s24,s3,s123,s124,s125,s126,s127,s129,s142,s144,s147,kcatp_r8_s124,kM_r8_s124_s23,kcatn_r8_s124,kM_r8_s124_s24,kcatp_r8_s31,kM_r8_s31_s23,kcatn_r8_s31,kM_r8_s31_s24,kI_r8_s22,kI_r8_s29,kI_r8_s33,kcatp_r9,kM_r9_s25,kcatn_r9,kM_r9_s26,kcatp_r11,kM_r11_s29,kcatn_r11,kM_r11_s30,kcatp_r14,kM_r14_s27,kcatn_r14,kM_r14_s28,kass_r15,kdiss_r15,kass_r17_s3,kdiss_r17_s3,kI_re11_s142,kass_r6_s144,kdiss_r6_s144,kass_r7_s144,kdiss_r7_s144,kass_r4_s144,kdiss_r4_s144,Vp_re11,kM_re11_s129,kM_re11_s147,ki_re11_s129,default,c2,r8,r9,r11,r14,r15,r17,r6,r7,r4,re11
0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,0.0,5.0,5.0,5.0,0.5,0.0,2.0,0.0,0.5,0.0,5.0,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06046871939379264,0.0,1.218454869174795,0.0,-0.074,91.25,0.0,0.0,0.0,0.0
0.01,4.999973632985123,2.6367014879082e-05,4.999994622769468,5.377230530544957e-06,4.999999990075305,0.0007323888528823024,4.987850399811448,0.012149600188553223,5.0,5.0,0.9992676210718117,4.999394776585664,0.0006052234143371666,5.0,3.6967316262413785,5.0,0.4999868167706451,1.3183229354936765e-05,2.0,0.6502392855339277,0.5,0.001394901345382579,4.998605098654616,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060574660660095515,0.001075759429209578,1.2114737311530537,2.977839856284308e-06,-0.07248102625354946,46.20640825178758,0.0,0.00697443316814384,0.0034870694704128105,0.21889385989005627
0.02,4.999843055778361,0.00015694422164167426,4.999978478866526,2.1521133474529314e-05,4.999999920568566,0.0014498034912019825,4.975770354982095,0.024229645017906757,5.0,5.0,0.9985502759402329,4.998788544640412,0.0012114553595864435,5.0,2.9885993801427215,5.0,0.4999215377411507,7.846225884944281e-05,2.0,1.001775471934001,0.5,0.003924837994638071,4.996075162005361,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060669476558914956,0.0021532990950693517,1.2045437118168962,1.1918031655729682e-05,-0.07099311343717327,26.94076941428442,0.0,0.01962295801190209,0.009809015470048407,0.27798775525231034
0.03,4.999574756210909,0.00042524378909152276,4.999951551672523,4.844832747676023e-05,4.999999731809759,0.0021526104029658683,4.963759356879091,0.03624064312091067,5.0,5.0,0.9978476577872749,4.998181436088091,0.0018185639119082696,5.0,2.558622352411724,5.0,0.49978745042603384,0.00021254957396629596,2.0,1.2138366293813727,0.5,0.006852194412764944,4.993147805587235,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060749635927632196,0.0032323720619868257,1.1976643015144757,2.6829647118917056e-05,-0.0695355058703266,17.036724493247544,0.0,0.034255144357593366,0.01711592172188069,0.3045389488934854
0.04,4.999154742037813,0.0008452579621884031,4.999913827271606,8.617272839292292e-05,4.999999364045426,0.002841168679791204,4.951816901931824,0.04818309806817755,5.0,5.0,0.9971594672747826,4.99757360581986,0.002426394180138809,5.0,2.279667677268371,5.0,0.499577656706628,0.0004223432933720485,2.0,1.350189464540376,0.5,0.009976696825437855,4.990023303174562,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06081364701732426,0.004312690522147427,1.1908349974304273,4.7720266289319754e-05,-0.0681074632187515,11.340058748901797,0.0,0.049866618362333213,0.024899606153652342,0.3190616762992279
0.05,4.998575585444991,0.0014244145550116882,4.999865294733372,0.00013470526662734267,4.999998757454455,0.003515830153145898,4.939942491564141,0.06005750843586023,5.0,5.0,0.9964854123923979,4.996965219631798,0.003034780368200862,5.0,2.090783620550119,5.0,0.4992886038427977,0.0007113961572023717,2.0,1.441393512472841,0.5,0.013214677252098773,4.9867853227479015,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06086072370888305,0.005393947253254832,1.1840553034688628,7.459582084411413e-05,-0.06670826021074565,7.811649594584873,0.0,0.06603573990325856,0.03294268442408881,0.32785401391019764
0.06,4.997832901398319,0.0021670986016828217,4.999805946257811,0.00019405374218859424,4.999997852165017,0.004176939526663471,4.928135632127729,0.07186436787227155,5.0,5.0,0.9958252083083187,4.996356449288312,0.003643550711687462,5.0,1.9591051800918236,5.0,0.49891832759781063,0.0010816724021895582,2.0,1.5039239957568014,0.5,0.016523414197286174,4.983476585802714,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06089042413935362,0.006475824411277342,1.1773247301387975,0.00010746051367790764,-0.06533718636148864,5.511869263292622,0.0,0.08254545525082699,0.04112980628194393,0.33349729351234664
0.07,4.996923966726519,0.003076033273482942,4.999735777255915,0.0002642227440860575,4.999996588272089,0.004824834505129759,4.916395834836631,0.08360416516337074,5.0,5.0,0.9951785772227794,4.9957474698818,0.0042525301181988604,5.0,1.8653832093117728,5.0,0.49846576350126137,0.0015342364987387352,2.0,1.5474300254916589,0.5,0.019878369852453802,4.980121630147547,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06090250915768345,0.007557998242089151,1.1706427944419524,0.0001463167741219139,-0.06399354570422615,3.9577593451474833,0.0,0.09926955620809155,0.04939094342550389,0.33724648316094924
0.08,4.99584706380576,0.004152936194241487,4.999654786392991,0.00034521360701049783,4.999994905855335,0.005459845920474538,4.904722615702863,0.09527738429713871,5.0,5.0,0.9945452482241885,4.9951384581804525,0.004861541819546191,5.0,1.797643915913891,5.0,0.49793041920364783,0.002069580796352338,2.0,1.577913703542856,0.5,0.023264338500197483,4.976735661499803,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06089687484166351,0.008640142036855314,1.1640090197628776,0.00019116523381371975,-0.06267665652764087,2.8798488917239973,0.0,0.11612846187420234,0.057679371968495236,0.33978495028433914
0.09,4.994601127242059,0.005398872757941415,4.999562975607352,0.0004370243926485972,4.999992744997136,0.006082297854998502,4.893115495473134,0.10688450452686671,5.0,5.0,0.9939249571478637,4.994529591475941,0.005470408524057499,5.0,1.7480965199048053,5.0,0.49731219760012324,0.002687802399876883,2.0,1.5992803457472025,0.5,0.026671394300393992,4.973328605699606,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06087351579347272,0.009721928198798808,1.1574229357613313,0.00024200471621159373,-0.0613858511189449,2.1178873131253195,0.0,0.13306898057376057,0.06596161137489838,0.3415159304892613
