Time,P,O,C,aP,n,bP,mP,zD,cPP,kP,aO,bO,zO,mO,cOC,cOP,cOO,kO,aC,bC,zC,mC,cCO,cCP,cCC,kC,default_compartment,a1,a2,a3,a4,a5,a6
0.0,12.03,0.14,0.14,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031739013709086,1.203,0.012294251283013815,0.014000000000000002,0.013657310762704024,0.014000000000000002
0.01,12.030001738825396,0.13998295098916283,0.13999657479503624,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031740375919022,1.2030001738825398,0.012294241367200403,0.013998295098916284,0.013657305668132428,0.013999657479503625
0.02,12.030003477274215,0.139965918919746,0.1399931529626554,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031741737833677,1.2030003477274216,0.012294231459302344,0.013996591891974601,0.0136573005756084,0.013999315296265542
0.03,12.030005215346543,0.13994890377489552,0.13998973449950713,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031743099453116,1.2030005215346544,0.012294221559310786,0.013994890377489553,0.013657295485130502,0.013998973449950713
0.04,12.030006953042456,0.13993190553777426,0.1399863194022442,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031744460777398,1.2030006953042456,0.012294211667216918,0.013993190553777428,0.013657290396697332,0.013998631940224422
0.05,12.030008690362036,0.1399149241915649,0.13998290766752347,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031745821806594,1.2030008690362037,0.012294201783011927,0.01399149241915649,0.013657285310307472,0.013998290766752347
0.06,12.03001042730537,0.13989795971947758,0.1399794992920073,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031747182540766,1.203001042730537,0.012294191906687003,0.013989795971947758,0.013657280225959497,0.01399794992920073
0.07,12.030012163872534,0.13988101210472098,0.1399760942723576,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031748542979974,1.2030012163872534,0.012294182038233369,0.013988101210472099,0.01365727514365201,0.013997609427235762
0.08,12.030013900063613,0.1398640813305189,0.13997269260523948,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031749903124287,1.2030013900063614,0.012294172177642237,0.01398640813305189,0.013657270063383587,0.01399726926052395
0.09,12.030015635878684,0.1398471673801126,0.13996929428732144,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031751262973764,1.2030015635878684,0.012294162324904837,0.013984716738011261,0.01365726498515282,0.013996929428732145
0.1,12.03001737131783,0.13983027023676112,0.13996589931527542,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203175262252847,1.2030017371317832,0.012294152480012418,0.013983027023676112,0.013657259908958299,0.013996589931527543
0.11,12.030019106381133,0.139813389883741,0.13996250768577703,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031753981788473,1.2030019106381133,0.012294142642956233,0.0139813389883741,0.013657254834798618,0.013996250768577703
0.12,12.030020841068673,0.13979652630434652,0.13995911939550526,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031755340753834,1.2030020841068674,0.012294132813727553,0.013979652630434653,0.013657249762672375,0.013995911939550527
0.13,12.030022575380531,0.13977967948188946,0.13995573444114265,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031756699424614,1.2030022575380532,0.012294122992317651,0.013977967948188947,0.013657244692578153,0.013995573444114265
0.14,12.030024309316788,0.1397628493996993,0.13995235281937526,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031758057800876,1.203002430931679,0.012294113178717831,0.01397628493996993,0.013657239624514563,0.013995235281937527
0.15,12.030026042877525,0.1397460360411219,0.13994897452689242,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203175941588269,1.2030026042877526,0.012294103372919382,0.013974603604112191,0.013657234558480197,0.013994897452689243
0.16,12.030027776062825,0.13972923938951562,0.13994559956038585,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031760773670115,1.2030027776062826,0.012294093574913623,0.013972923938951562,0.013657229494473648,0.013994559956038585
0.17,12.030029508872767,0.13971245942825983,0.13994222791655161,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2031762131163215,1.2030029508872768,0.01229408378469188,0.013971245942825984,0.013657224432493517,0.013994222791655162
