Time,M,Tc,N,Tr,sm,rm,km,dm,anm,bnm,acm,bcm,acnm,amm,bmm,arm,brm,rc,kc,dc,amc,bmc,anc,bnc,sn,rn,kn,dn,acn,bcn,rr,kr,dr,amr,bmr,compartment,M_breakup,M_decay,M_source,M_growth,Tc_growth,Tc_death,Tc_stimulation,N_source,N_growth,N_stimulation,N_death,Tr_death,Tr_growth,Tr_stimulation
0.0,4.0,464.0,227.0,42.0,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.027064893694851058,0.008,0.001,0.042,2.53344,9.28,12.567779288537551,0.03,4.499644444444444,2.4884803602171894,5.675000000000001,3.1794000000000002,1.6578449999999998,1.8946799999999997
3.0,4.0233735762062555,480.6196764956466,230.93511971888748,42.99298481070889,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.027386912518826925,0.008046747152412511,0.001,0.042080851449608735,2.4943826011282306,9.612393529912932,12.377130196546274,0.03,4.496868831459776,2.5259863726737826,5.773377992972187,3.254568950170663,1.6526949210473767,1.8935085832253402
6.0,4.045885962676075,495.565774206127,234.67277928395734,43.76568142479458,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.02770313750070208,0.00809177192535215,0.001,0.04215691620661753,2.451591720506233,9.91131548412254,12.167622791579177,0.03,4.491683319193231,2.5568711607053136,5.866819482098934,3.31306208385695,1.6472701545889765,1.8917896856381995
9.0,4.067553570132897,508.89040236303623,238.20287628678437,44.36286171339477,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.0280085835077261,0.008135107140265793,0.001,0.04222845139699917,2.407321804439761,10.177808047260724,11.95045769434429,0.03,4.484505249578299,2.5819057145047757,5.95507190716961,3.3582686317039845,1.6422278483794985,1.8902862727143328
12.0,4.088406080553576,520.6778098163898,241.51947390036247,44.82274633782127,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.02829985324573913,0.008176812161107152,0.001,0.04229574392054954,2.3633490760411884,10.413556196327795,11.734472596399208,0.03,4.475742842849355,2.601850749427309,6.037986847509062,3.3930818977730706,1.6378398360742712,1.8893258283125842
15.0,4.108481903957279,531.0339520937458,244.6203453263223,45.17671776906987,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.028574862148174597,0.008216963807914559,0.001,0.04235909209774963,2.320989180228776,10.620679041874917,11.526225070086458,0.03,4.465781515491187,2.617431280448428,6.115508633158058,3.419877535118589,1.6341631548735476,1.8889911631269891
18.0,4.1278247403904516,540.0778732738165,247.5065170645511,45.4497933261338,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.028832574287045134,0.008255649480780903,0.001,0.04241879305391879,2.2811455780601246,10.80155746547633,11.330229146579823,0.03,4.4549739279664955,2.629320317732668,6.187662926613778,3.440549354788329,1.6311488681196462,1.889243043513814
21.0,4.146480820902998,547.9345024809966,250.18177336337246,45.661504037283336,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.0290727479484614,0.008292961641805997,0.001,0.042475133769098776,2.244374973355125,10.958690049619932,11.149277512483016,0.03,4.443633625802289,2.6381288958388875,6.254544334084311,3.456575855622349,1.6287053327022125,1.889991897885995
24.0,4.1644966911256205,554.7285808832659,252.65213124188722,45.82690215818293,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.02929570083208092,0.008328993382251241,0.001,0.042528384886504934,2.210959826690073,11.094571617665318,10.984799819343738,0.03,4.432031967802795,2.6444005858062405,6.316303281047181,3.469096493374448,1.6267315406744727,1.8911358077336688
27.0,4.181917843838094,560.5806692354771,254.925365779197,45.95744952659931,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.02950213704512118,0.008363835687676189,0.001,0.0425787977750966,2.180975040853152,11.211613384709542,10.837192813939096,0.03,4.420397554042779,2.648611178720795,6.373134144479925,3.478978929163568,1.6251335109496197,1.8925793850149406
30.0,4.198787730822113,565.6043183961599,257.01057152183665,46.0618000765026,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.029693006841369385,0.008397575461644227,0.001,0.04262660307450794,2.1543471580888283,11.312086367923198,10.706113825471578,0.03,4.408917627630701,2.651170955596857,6.425264288045916,3.486878265791247,1.6238306948010228,1.8942412676152742
33.0,4.215147131463445,569.9043133778883,258.91776518548915,46.14645698203714,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.02986939748237727,0.008430294262926892,0.001,0.0426720104558124,2.1309035198033097,11.398086267557767,10.590724773802046,0.03,4.39774090709529,2.6524289037398767,6.472944129637229,3.493286793540211,1.6227571328974755,1.8960556033476896
