E_1_task1,T_2_task1,_1_task1
5.0,50.0,0.0
3.5899792720775525,24.496220853178844,0.25
2.5321472209945077,16.72032426266095,0.5
1.7800035291387057,14.401262280869874,0.75
1.2662673022564073,14.531793569490508,1.0
0.923109518188332,16.27444578127275,1.25
0.6964123178749687,19.474069667139524,1.5
0.5472980349586385,24.249200941462924,1.75
0.4491882262531925,30.841929588040905,2.0
0.3843259524175113,39.52678386628293,2.25
0.34094638604807176,50.51852395060941,2.5
0.31126431988123726,63.86586828301458,2.75
0.29014249461650604,79.34931107648428,3.0
0.27424381915508567,96.42612644899076,3.25
0.2614881181887329,114.26864902950946,3.5
0.25067781700412745,131.90717302422644,3.75
0.2412059116955767,148.43017509763513,4.0
0.2328246776147641,163.15877647038008,4.25
0.22546379210754475,175.72888272203704,4.5
0.21910503921050065,186.07315980919492,4.75
0.21372260663064596,194.34043998089925,5.0
0.2092567793281275,200.799614292233,5.25
0.20561813154426417,205.76092845832116,5.5
0.20269994072605935,209.52465299208623,5.75
0.2003914047000947,212.35471926760104,6.0
0.19858536643478186,214.46972371249225,6.25
0.1971855193104823,216.04396218942946,6.5
0.19610861800742801,217.21253326899748,6.75
0.1952852316390051,218.07847579097117,7.0
0.1946589113312164,218.719454724401,7.25
0.19418449735831078,219.19373328924286,7.5
0.19382640802487042,219.54456124033447,7.75
0.1935568700696428,219.8041208194369,8.0
0.1933544816329175,219.99615603801132,8.25
0.19320279628602668,220.1382910566704,8.5
0.1930893042136391,220.24350824543313,8.75
0.19300449800124883,220.32142419459342,9.0
0.19294118502508095,220.37915311095742,9.25
0.19289394815906186,220.42195110031528,9.5
0.19285874915980566,220.45367315598347,9.75
0.19283256727486675,220.47715321267893,10.0
0.19281310920878786,220.49452559365022,10.25
0.19279863846052667,220.50739914960351,10.5
0.19278786549750612,220.51696062332337,10.75
0.19277984664113382,220.52406742390357,11.0
0.19277388662092018,220.52934437900896,11.25
0.19276949816909753,220.53322850055184,11.5
0.1927663153013773,220.53604986359343,11.75
0.19276392129452471,220.53816112681395,12.0
0.19276218772739942,220.5396876670919,12.25
0.192760825546096,220.54087757639604,12.5
0.19275978271075753,220.54177847041996,12.75
0.19275897635376993,220.5424701423876,13.0
0.19275835478388592,220.54300608007335,13.25
0.19275790414861993,220.5434061769394,13.5
0.19275757975892197,220.54369835907582,13.75
0.19275735474851066,220.54390391366206,14.0
0.19275719427226196,220.54404972868397,14.25
0.19275707345453452,220.54415475711926,14.5
