_1_task1,x_PCC_1_task1
0.0,1000000000.0
0.5,934953249.2961317
1.0,890545549.9511617
1.5,857454394.9561908
2.0,831495289.6103525
2.5,810432429.3931915
3.0,792934174.5872306
3.5,778143456.482177
4.0,765477557.1257033
4.5,754522744.5485038
5.0,744974904.5544332
5.5,736604288.1351635
6.0,729233295.0615438
6.5,722721728.3165531
7.0,716957279.3047682
7.5,711848597.2046976
8.0,707320444.8517332
8.5,703310140.6041453
9.0,699764989.7216681
9.5,696640286.6333932
10.0,693897808.7163702
10.5,691504646.8530267
11.0,689432280.6199558
11.5,687655853.701701
12.0,686153589.4912393
12.5,684906316.1498822
13.0,683897080.9551221
13.5,683110834.83778
14.0,682534164.1367217
14.5,682155065.673057
15.0,681962801.4446819
15.5,681947693.11414
16.0,682101018.0039856
16.5,682414892.4306839
17.0,682882189.4517363
17.5,683496470.651248
18.0,684251754.9883162
18.5,685142683.3128259
19.0,686164355.8112968
19.5,687312230.2994785
20.0,688582284.9340429
20.5,689970705.9892902
21.0,691474076.8957462
21.5,693089259.4559405
22.0,694813309.2201428
22.5,696643619.7061085
23.0,698577708.5453079
23.5,700613338.3634788
24.0,702748409.8292996
24.5,704981031.7044705
25.0,707309539.3205237
25.5,709732280.8425189
26.0,712247781.6840698
26.5,714854799.988799
27.0,717552070.0351777
27.5,720338438.7511082
28.0,723212912.2922198
28.5,726174545.2361951
29.0,729222487.9714452
29.5,732356007.2227145
30.0,735574383.4145055
30.5,738877015.7969744
31.0,742263367.5146604
31.5,745732942.1558067
32.0,749285311.5554719
32.5,752920113.1655579
33.0,756637033.2628735
33.5,760435809.2072932
34.0,764316238.2737182
34.5,768278139.7803739
35.0,772321359.5962304
35.5,776445767.1703112
36.0,780651332.9000072
36.5,784938061.3972542
37.0,789305968.5329719
37.5,793755099.5856379
38.0,798285533.484368
38.5,802897395.4887403
39.0,807590829.7384535
39.5,812366005.9871435
40.0,817223118.7770754
40.5,822162395.5651313
41.0,827184088.9098395
41.5,832288471.446531
42.0,837475837.4585557
42.5,842746496.8401824
43.0,848100813.3317689
43.5,853539131.985992
44.0,859061835.9622533
44.5,864669324.9628028
45.0,870362018.6212486
45.5,876140357.4495219
46.0,882004796.4627547
46.5,887955808.4417979
47.0,893993883.1622733
47.5,900119526.5024707
48.0,906333260.9564412
48.5,912635625.6581684
49.0,919027170.2960502
49.5,925508464.3042582
50.0,932080087.2389214
50.5,938742635.1068397
51.0,945496719.2199695
51.5,952342959.8010223
52.0,959281996.026055
52.5,966314475.4819367
53.0,973441060.4289799
53.5,980662427.0345385
54.0,987979260.0870975
54.5,995392259.6133432
55.0,1002902135.9275243
55.5,1010509612.2023648
56.0,1018215420.2742466
