Time,P,I,M,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ
0.0,1.0,1.0,1.0,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,0.9,0.25,0.33999999999999997,0.805,2.4,0.1
0.5,1.3633651399011002,0.8151949035495919,2.3288226347006336,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,1.2270286259109902,0.42732331662573697,0.37342249411736594,0.6577129644082964,3.2720763357626406,0.23288226347006336
1.0,1.7926711868023095,0.7077010044443774,4.059127338894906,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,1.6134040681220787,0.7061677567751646,0.42060255986154654,0.5725041795531944,4.302410848325542,0.4059127338894906
1.5,2.257703482728237,0.6585378171191749,6.232385428526602,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.0319331344554135,1.0937841593455528,0.48603493696546357,0.5342641693114311,5.418488358547769,0.6232385428526602
2.0,2.7157759001132673,0.6570455131608449,8.844239980111151,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4441983101019407,1.5643071664231945,0.5753165109759332,0.5345583523782749,6.517862160271841,0.8844239980111152
2.5,3.125547860831081,0.6985617362155934,11.839885864062293,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.812993074747973,2.0629792930835045,0.6950164420861281,0.5697663296739102,7.501314865994594,1.1839885864062294
3.0,3.4598348713730247,0.7828040327141907,15.126260051180314,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.1138513842357223,2.529510101925558,0.8525118069507961,0.6397850896205326,8.303603691295258,1.5126260051180314
3.5,3.7097015725926203,0.9127079934717975,18.59388225335526,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.3387314153333585,2.9216708654742414,1.0557622836100546,0.747095766170939,8.903283774222288,1.8593882253355263
4.0,3.880157487399981,1.0935253065799535,22.137044940862882,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.4921417386599827,3.223276945704605,1.3129151217962698,0.8960354972939006,9.312377969759954,2.213704494086288
4.5,3.982942899758858,1.3319929238808463,25.665720076595786,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.584648609782972,3.4380294164829133,1.6315755276100774,1.0921205978981785,9.55906295942126,2.5665720076595786
5.0,4.030839822417091,1.6353779833974524,29.10903853918282,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.627755840175382,3.57913126980582,2.017584010054782,1.341262120218875,9.674015573801018,2.910903853918282
5.5,4.0347761351348215,2.0102219520307245,32.41360808736475,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.6312985216213396,3.6614234700495825,2.4732386675133107,1.6487315394164683,9.68346272432357,3.2413608087364754
6.0,4.003074851740627,2.4606754295699025,35.539897023569246,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.6027673665665647,3.697435050248016,2.9950803791222027,2.017791683307959,9.607379644177504,3.5539897023569247
6.5,3.9418674515293652,2.9864629074077262,38.458681390573446,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.5476807063764286,3.696275847580836,3.5716722789730815,2.4480315305757325,9.460481883670477,3.8458681390573446
7.0,3.8559453551647365,3.580753908453652,41.14845659031844,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.470350819648263,3.6640224864677933,4.18215742038695,2.933639083769371,9.254268852395366,4.114845659031844
7.5,3.7496380319061258,4.2285058818402925,43.594025224297454,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.3746742287155134,3.6047253976977247,4.796609941806133,3.4620815378356697,8.999131276574701,4.359402522429746
8.0,3.6274913313269237,4.9060346681786084,45.78607332099231,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.2647421981942313,3.521568583270759,5.378979469002179,4.013810725692923,8.705979195184616,4.578607332099231
8.5,3.494619968091761,5.582510787131793,47.72138272786578,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.1451579712825852,3.4179114277170535,5.892626100639525,4.563552398049426,8.387087923420227,4.772138272786578
9.0,3.3566919508596467,6.223534664887605,49.40322433375014,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,3.021022755773682,3.298000606369399,6.307146614657264,5.0832801754877055,8.056060682063151,4.940322433375014
9.5,3.2195868212481873,6.796197501688624,50.84151262222729,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.8976281391233685,3.167195255462829,6.604284373310964,5.5463627409060825,7.727008370995649,5.084151262222729
10.0,3.0888727704536443,7.274253729696558,52.052434366541284,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.77998549340828,3.0316892119615226,6.780773281309169,5.931749205112399,7.413294649088746,5.205243436654129
10.5,2.969274848216107,7.641901692781436,53.0574549962581,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.6723473633944965,2.897863949295558,6.847271946674803,6.226975886669729,7.1262596357186565,5.305745499625811
11.0,2.864300082496179,7.895143458111536,53.88182633253698,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.5778700742465612,2.7715459954369255,6.8242180175164115,6.429185066781169,6.874320197990829,5.388182633253699
11.5,2.776081201683872,8.04072612692668,54.5528680100225,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4984730815154848,2.6574108001109904,6.736512594654856,6.544189444785592,6.662594884041292,5.45528680100225
12.0,2.705430009213458,8.093341698959126,55.09827114021297,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4348870082921126,2.558668782309679,6.608790852154796,6.584153206703214,6.4930320221123,5.509827114021298
12.5,2.6520331296822346,8.072163087465402,55.54463983810382,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.386829816714011,2.4770381409942437,6.462293180846883,6.5647686896531035,6.364879511237363,5.554463983810383
13.0,2.6147115693801575,7.99762855380935,55.916373830833145,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.3532404124421418,2.4129179135726098,6.3134475721751215,6.502660302583733,6.275307766512378,5.591637383083315
13.5,2.5916861298799643,7.889019291839661,56.234924974383816,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.332517516891968,2.3656604930132525,6.173758563104893,6.413444742856811,6.220046711711914,5.623492497438382
14.0,2.5808124573028555,7.76296548795412,56.51838034269924,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.32273121157257,2.3338564898001275,6.05042741107724,6.3105461805479175,6.193949897526853,5.651838034269924
14.5,2.5797772418058234,7.63276502361379,56.781317767064515,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.3217995176252413,2.31559179846637,5.947250049991103,6.204666186390884,6.191465380333976,5.678131776706452
15.0,2.5862557508708393,7.508300569312175,57.034876170392906,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.327630175783755,2.3086630381150184,5.865515657995123,6.103732383082993,6.207013802090014,5.703487617039291
15.5,2.598034937730224,7.396320734110233,57.28698621128003,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.3382314439572016,2.31075209142722,5.804769903363053,6.013136085677571,6.235283850552537,5.728698621128004
16.0,2.6131067108497814,7.300899099026042,57.54271475968667,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.3517960397648032,2.319566758002736,5.763408529270622,5.9361094213753445,6.271456106039476,5.754271475968667
16.5,2.6297343660952057,7.223949409597885,57.804684601270814,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.366760929485685,2.3329539683120677,5.739120406405818,5.874144867785072,6.311362478628493,5.780468460127082
17.0,2.6464916874698052,7.165727294009505,58.0735396408272,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.381842518722825,2.348985536282938,5.729211315481497,5.827402023798962,6.351580049927533,5.80735396408272
17.5,2.6622785694009314,7.1252733109045465,58.34841506173245,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.3960507124608386,2.3660185580555737,5.7308387310236775,5.795065960907366,6.389468566562235,5.8348415061732455
