Time,P,I,M,T,U,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,Q0,delta_0,theta_0,delta_1,k1,n1,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ,Increase_in_the_concentration_of_toxicant_in_the_environment,Decrease_in_the_concentration_of_toxicant_in_the_environment,Increase_in_the_uptake_concentration_of_toxicant_by_the_body,Decrease_in_the_uptake_concentration_of_toxcant_by_the_body
0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.5,0.25,0.33999999999999997,1.105,2.4,0.1,5.0,0.4,1.2,0.62
0.5,1.1308544303076713,0.6558876130085883,2.197844546944131,3.084596336035555,1.905537331019156,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.5654272151538356,0.29285201915703185,0.26251402388640566,0.9033641569339173,2.714050632738411,0.2197844546944131,5.0,1.233838534414222,3.7015156032426657,0.7880017455449294
1.0,1.271684778307338,0.35939485463032683,3.4965876966143807,4.791319467349841,3.849693034958454,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.635842389153669,0.34628828337748496,0.17711108981060955,0.7048690291355209,3.052043467937611,0.3496587696614381,5.0,1.9165277869399366,5.749583360819809,0.9071297819013342
1.5,1.4187172661414473,0.14662836369480295,4.900986115999368,6.188666182006137,6.739087896584181,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.7093586330707237,0.4129529458135668,0.10240725738396542,0.41478524123371874,3.4049214387394735,0.49009861159993684,5.0,2.475466472802455,7.426399418407364,0.7276666165746375
2.0,1.5656926389637196,0.043995302900529734,6.409653488184259,7.3327169111706505,10.507754952287387,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.7828463194818598,0.49372284403605216,0.06066493657010158,0.17422821650905296,3.757662333512927,0.6409653488184259,5.0,2.9330867644682606,8.79926029340478,0.4875302162040027
2.5,1.7058138960097233,0.013638555517824353,8.01332164181432,8.269386425303459,14.978188899319386,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.8529069480048617,0.5831234514401644,0.04697945125714146,0.07231142685982687,4.093953350423336,0.801332164181432,5.0,3.307754570121384,9.92326371036415,0.42213229450228446
3.0,1.834336546479447,0.0073130769140843065,9.69627937810138,9.036266561961456,19.953305045804655,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.9171682732397235,0.6736288453625648,0.044024393275216,0.04969355109956783,4.402407711550673,0.969627937810138,5.0,3.6145066247845827,10.843519874353747,0.4866181336101867
3.5,1.9488597710518691,0.005450498689209877,11.439477284642088,9.664134913807183,25.30148981365446,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,0.9744298855259346,0.7601419943262474,0.04318667728827162,0.04578523135881997,4.677263450524486,1.1439477284642088,5.0,3.8656539655228737,11.59696189656862,0.5887732385117176
4.0,2.0485413493280213,0.004401226918679439,13.222973510182731,10.178190042337857,30.93727182394777,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.0242706746640107,0.8397551367478686,0.042704828599207115,0.04441464807421557,4.916499238387251,1.3222973510182732,5.0,4.071276016935143,12.213828050805427,0.7004426086041926
4.5,2.133582099176627,0.003677689062193095,15.027464281182196,10.599062784569359,36.795440824038735,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.0667910495883135,0.9108268473628601,0.04235399546482986,0.043578041584643804,5.120597038023905,1.5027464281182197,5.0,4.239625113827744,12.71887534148323,0.817102130635059
