Susceptible_Human_1_task1,_1_task1
600.0,0.0
599.5093222185473,10.0
598.943746856161,20.0
598.2825750322189,30.0
597.5468943256512,40.0
596.7800603158014,50.0
596.0093399014596,60.0
595.2471509615176,70.0
594.4981562442871,80.0
593.7637392162854,90.0
593.0440562545975,100.0
592.3388488730311,110.0
591.6477322648857,120.0
590.9702934508691,130.0
590.3061226940804,140.0
589.6548153268636,150.0
589.0159822779776,160.0
588.3892467537373,170.0
587.7742416682781,180.0
587.1706109473579,190.0
586.57801084999,200.0
585.9961080614283,210.0
585.4245796197455,220.0
584.8631124643434,230.0
584.3114030790699,240.0
583.769157347051,250.0
583.2360899832527,260.0
582.711925497986,270.0
582.1963953098076,280.0
581.689241652383,290.0
581.190212350683,300.0
580.6990648814167,310.0
580.2155632832887,320.0
579.7394788369422,330.0
579.2705906120189,340.0
578.8086833514672,350.0
578.3535497357356,360.0
577.9049867731127,370.0
577.4628003157451,380.0
577.02680257768,390.0
576.596807175438,400.0
576.1726383219874,410.0
575.7541255905168,420.0
575.3411018545758,430.0
574.9334041476509,440.0
574.5308778520139,450.0
574.1333719538087,460.0
573.740738321822,470.0
573.3528352365903,480.0
572.9695245748139,490.0
572.5906731477138,500.0
572.2161514680548,510.0
571.8458336712873,520.0
571.4795982364495,530.0
571.1173283268803,540.0
570.7589095205784,550.0
570.4042313909982,560.0
570.0531874568293,570.0
569.7056741895199,580.0
569.3615914495568,590.0
569.0208422242544,600.0
568.6833325481348,610.0
568.3489714563784,620.0
568.017670793459,630.0
567.689345127938,640.0
567.3639116426037,650.0
567.0412927406502,660.0
566.7214102609018,670.0
566.4041887589673,680.0
566.0895553423727,690.0
565.7774391956335,700.0
565.4677714610488,710.0
565.1604851194945,720.0
564.855514871218,730.0
564.5527980992962,740.0
564.2522858368616,750.0
563.9539122152704,760.0
563.657620524407,770.0
563.3633556717571,780.0
563.0710640998507,790.0
562.7806937037049,800.0
562.4922002312719,810.0
562.2055362690869,820.0
561.9206532820936,830.0
561.6375064894294,840.0
561.3560525101382,850.0
561.0762493046127,860.0
560.7980568252481,870.0
560.5214382002872,880.0
560.24635417035,890.0
559.9727682155719,900.0
559.7006449809659,910.0
559.4299502256407,920.0
559.1606507720205,930.0
558.8927157634607,940.0
558.6261139161705,950.0
558.3608150623554,960.0
558.0967901468758,970.0
557.8340109803172,980.0
557.5724501918015,990.0
557.3120823759036,1000.0
557.0528836554524,1010.0
556.7948282082075,1020.0
556.5378922181098,1030.0
556.2820525680994,1040.0
556.0272868005604,1050.0
555.7735730777658,1060.0
555.5208944966153,1070.0
555.2692289276123,1080.0
555.0185569846262,1090.0
554.7688599468637,1100.0
554.520119668046,1110.0
554.272318546482,1120.0
554.0254410415961,1130.0
553.7794716936855,1140.0
553.5343940596118,1150.0
553.2901931051503,1160.0
553.046854296149,1170.0
552.8043635754262,1180.0
552.5627075028071,1190.0
552.3218742704652,1200.0
552.0818506441714,1210.0
551.8426245642866,1220.0
551.6041843833805,1230.0
551.3665188465174,1240.0
551.1296170715407,1250.0
550.893469268206,1260.0
550.6580653934914,1270.0
550.4233955643625,1280.0
550.1894504441977,1290.0
549.9562210085111,1300.0
549.7236985276752,1310.0
549.4918748776491,1320.0
549.2607428541294,1330.0
549.0302941823074,1340.0
548.8005214332094,1350.0
548.5714174322513,1360.0
548.342975244996,1370.0
548.1151881629095,1380.0
547.8880508844088,1390.0
547.661556945482,1400.0
547.4357003764701,1410.0
547.2104755567356,1420.0
546.9858770689767,1430.0
546.7618996880813,1440.0
546.5385387585063,1450.0
546.3157899392966,1460.0
546.0936483534126,1470.0
545.8721096546811,1480.0
545.6511696675539,1490.0
545.430824378195,1500.0
545.2110699354429,1510.0
544.9919032518571,1520.0
544.7733205248322,1530.0
544.5553184271264,1540.0
544.3378937692472,1550.0
544.121043491925,1560.0
543.9047646585858,1570.0
543.6890549791784,1580.0
543.4739119610189,1590.0
543.2593328259463,1600.0
543.0453151670148,1610.0
542.8318566687628,1620.0
542.6189550992001,1630.0
542.4066083017947,1640.0
542.1948141874601,1650.0
541.9835707265424,1660.0
541.7728759408069,1670.0
541.5627305330598,1680.0
541.3531319822393,1690.0
541.1440781687098,1700.0
540.9355675800228,1710.0
540.7275987477534,1720.0
540.5201702406004,1730.0
540.3132806574885,1740.0
540.1069286206692,1750.0
539.9011127688227,1760.0
539.695831750158,1770.0
539.4910894389412,1780.0
539.2868815688414,1790.0
539.0832071874421,1800.0
538.8800654281499,1810.0
538.677455451902,1820.0
538.475376442527,1830.0
538.2738276021051,1840.0
538.0728081463295,1850.0
537.8723172998671,1860.0
537.672354921278,1870.0
537.4729233510309,1880.0
537.2740198688239,1890.0
537.0756440531986,1900.0
536.8777955076337,1910.0
536.6804738577013,1920.0
536.4836787482262,1930.0
536.2874098404427,1940.0
536.0916668091525,1950.0
535.896449339882,1960.0
535.7017577407748,1970.0
535.5075926087279,1980.0
535.313952976742,1990.0
535.1208387133855,2000.0
534.9282497016501,2010.0
534.7361858369227,2020.0
534.5446470249573,2030.0
534.353633179848,2040.0
534.1631442220004,2050.0
533.9731800761041,2060.0
533.7837410385578,2070.0
533.5948271657846,2080.0
533.4064382183602,2090.0
533.2185741833141,2100.0
533.0312350487001,2110.0
532.8444208018783,2120.0
532.6581314277979,2130.0
532.4723669072793,2140.0
532.2871272152961,2150.0
532.1024123192578,2160.0
531.9182227937963,2170.0
531.7345584637993,2180.0
531.5514191835465,2190.0
531.3688049529339,2200.0
531.1867157640075,2210.0
531.0051515996169,2220.0
530.8241124320684,2230.0
530.6435982217791,2240.0
530.4636089159295,2250.0
530.2841444471171,2260.0
530.1052057698666,2270.0
529.9267922383735,2280.0
