x,Curve1
-98.803,0.00565
-93.889,0.01083
-89.387,0.01495
-84.587,0.02155
-78.586,0.03145
-73.786,0.04137
-67.986,0.06126
-63.586,0.07783
-57.386,0.11766
-53.786,0.1409
-50.386,0.16913
-47.186,0.20401
-44.186,0.23556
-39.082,0.30347
-36.437,0.3422
-33.414,0.39035
-30.391,0.43745
-28.123,0.47827
-25.352,0.52747
-21.591,0.58114
-19.391,0.6177
-17.592,0.65093
-14.992,0.68415
-11.193,0.74231
-8.193,0.7722
-1.194,0.84361
2.406,0.87018
7.606,0.90669
11.806,0.9266
18.406,0.95146
23.207,0.96304
29.207,0.97461
34.008,0.98121
40.608,0.9911
45.609,0.99437
50.209,0.99764
55.01,0.99426
60.01,0.99753
